Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Counts_sum
A0A140FWS6,A0A140FWS6_PSEPK,Pp_5721,TIGR02449 family protein,Control,R2,68106.85
A0A140FWS6,A0A140FWS6_PSEPK,Pp_5721,TIGR02449 family protein,Control,R3,64083.54
A0A140FWS9,A0A140FWS9_PSEPK,Pp_5724,Gamma-glutamylcyclotransferase AIG2-like domain-containing protein,Control,R1,89836
A0A140FWS9,A0A140FWS9_PSEPK,Pp_5724,Gamma-glutamylcyclotransferase AIG2-like domain-containing protein,Control,R2,74646.8
A0A140FWS9,A0A140FWS9_PSEPK,Pp_5724,Gamma-glutamylcyclotransferase AIG2-like domain-containing protein,Control,R3,78194.5
A0A140FWT6,A0A140FWT6_PSEPK,Pp_5732,Metal-binding protein,Control,R1,5917.02
A0A140FWT6,A0A140FWT6_PSEPK,Pp_5732,Metal-binding protein,Control,R2,7722.7
A0A140FWT6,A0A140FWT6_PSEPK,Pp_5732,Metal-binding protein,Control,R3,6187.88
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,Control,R1,616920.74
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,Control,R2,773866.05
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,Control,R3,662757.84
O77727,K1C15_SHEEP,Krt15,"Keratin, type I cytoskeletal 15",Control,R1,5917.02
O77727,K1C15_SHEEP,Krt15,"Keratin, type I cytoskeletal 15",Control,R2,7722.7
O77727,K1C15_SHEEP,Krt15,"Keratin, type I cytoskeletal 15",Control,R3,6187.88
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,Control,R1,125683076.5
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,Control,R2,137717254.4
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,Control,R3,132599172.8
P00761,TRYP_PIG,Tryp_pig,Trypsin,Control,R1,7525805.53
P00761,TRYP_PIG,Tryp_pig,Trypsin,Control,R2,5708832.5
P00761,TRYP_PIG,Tryp_pig,Trypsin,Control,R3,6139170.72
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",Control,R1,44377.65
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",Control,R2,57920.25
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",Control,R3,91580.56
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,Control,R1,390606.54
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,Control,R2,223885.8
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,Control,R3,265124.3
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,Control,R1,1622476.94
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,Control,R2,1550597.25
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,Control,R3,1447274.08
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,Control,R1,2662520.84
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,Control,R2,2786319.2
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,Control,R3,3110919.02
P0A122,FER1_PSEPK,Fdxa,Ferredoxin 1,Control,R1,90765.8
P0A122,FER1_PSEPK,Fdxa,Ferredoxin 1,Control,R2,123990.2
P0A122,FER1_PSEPK,Fdxa,Ferredoxin 1,Control,R3,72726.3
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,Control,R1,290101.51
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,Control,R2,223913.75
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,Control,R3,289631.74
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,Control,R1,623240.11
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,Control,R2,335148.05
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,Control,R3,706756.63
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,Control,R1,53842.91
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,Control,R2,41238.25
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,Control,R3,6187.88
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,Control,R1,146005.34
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,Control,R2,318851.3
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,Control,R3,270362.02
P0A136,KAD_PSEPK,Adk,Adenylate kinase,Control,R1,3705156.33
P0A136,KAD_PSEPK,Adk,Adenylate kinase,Control,R2,3927968.3
P0A136,KAD_PSEPK,Adk,Adenylate kinase,Control,R3,4092370.82
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,Control,R1,9548423.62
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,Control,R2,8660234
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,Control,R3,8478022.58
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,Control,R1,1578034.83
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,Control,R2,1314100.5
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,Control,R3,1267944.22
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,Control,R1,2390812.93
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,Control,R2,2467113.2
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,Control,R3,2184519.62
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,Control,R1,286561.71
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,Control,R2,223145.05
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,Control,R3,303737.34
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,Control,R1,902736.73
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,Control,R2,883722.2
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,Control,R3,864858.06
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,Control,R1,34145723
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,Control,R2,32516387.1
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,Control,R3,35306344.6
P0A161,RL34_PSEPK,Rpmh,Large ribosomal subunit protein bL34,Control,R1,781206.51
P0A161,RL34_PSEPK,Rpmh,Large ribosomal subunit protein bL34,Control,R2,771580.35
P0A161,RL34_PSEPK,Rpmh,Large ribosomal subunit protein bL34,Control,R3,827967.94
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,Control,R1,3705437
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,Control,R2,3832844
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,Control,R3,3830707
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,Control,R1,865885.15
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,Control,R2,804408.7
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,Control,R3,989257.34
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,Control,R1,2525280.55
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,Control,R2,2608279.1
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,Control,R3,2784077.6
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,Control,R1,102771.14
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,Control,R2,221066
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,Control,R3,114237.56
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,Control,R1,49511586.47
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,Control,R2,53221847.2
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,Control,R3,50711934.88
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",Control,R1,47336.16
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",Control,R2,61781.6
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",Control,R3,49503.04
P15252,REF_HEVBR,Ref_hevbr,Rubber elongation factor protein,Control,R1,5917.02
P15252,REF_HEVBR,Ref_hevbr,Rubber elongation factor protein,Control,R2,7722.7
P15252,REF_HEVBR,Ref_hevbr,Rubber elongation factor protein,Control,R3,25902.54
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,Control,R1,125587062.2
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,Control,R2,128261030.5
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,Control,R3,123645207.3
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",Control,R1,35502.12
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",Control,R2,46336.2
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",Control,R3,37127.28
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",Control,R1,26626.59
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",Control,R2,34752.15
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",Control,R3,27845.46
P59285,ALLA_PSEPK,Alla,Ureidoglycolate lyase,Control,R1,250407.3
P59285,ALLA_PSEPK,Alla,Ureidoglycolate lyase,Control,R2,155355.35
P59285,ALLA_PSEPK,Alla,Ureidoglycolate lyase,Control,R3,141144.8
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,Control,R1,1724046.21
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,Control,R2,1722571.05
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,Control,R3,2137823.44
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,Control,R1,81151.38
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,Control,R2,208850.25
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,Control,R3,178046.34
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,Control,R1,2192642.75
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,Control,R2,3288296.3
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,Control,R3,3145371.64
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,Control,R1,1039646.86
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,Control,R2,1289927.05
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,Control,R3,1149963.28
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,Control,R1,6388591.42
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,Control,R2,5304007.1
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,Control,R3,6466152.28
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",Control,R1,49138.52
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",Control,R2,75316.75
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",Control,R3,81521.84
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,Control,R1,2060405.24
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,Control,R2,2286002.9
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,Control,R3,1877262.2
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,Control,R1,890988.02
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,Control,R2,985525.1
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,Control,R3,996138.44
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,Control,R1,8843511.93
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,Control,R2,8701469.7
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,Control,R3,8622664.06
P59612,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,Control,R1,563432.36
P59612,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,Control,R2,622458.95
