Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance,Type
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",0812_0815-Control,R3,21729.2,0.000590331,-3.228904428,0812_0815
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,0812_0815-Control,R1,473868.7,0.010839381,-1.964995538,0812_0815
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,0812_0815-Control,R2,431087.7,0.010574192,-1.975752825,0812_0815
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,0812_0815-Control,R3,845803.3333,0.022978476,-1.638678773,0812_0815
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,0812_0815-Control,R1,330652.3667,0.007563418,-2.121281926,0812_0815
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,0812_0815-Control,R2,377839.7,0.009268066,-2.033010869,0812_0815
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,0812_0815-Control,R3,332062.3,0.009021347,-2.044728594,0812_0815
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,0812_0815-Control,R1,693573.7333,0.015864963,-1.799560924,0812_0815
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,0812_0815-Control,R2,630954.4,0.015476741,-1.810320483,0812_0815
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,0812_0815-Control,R3,229562.9,0.006236681,-2.205046463,0812_0815
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,0812_0815-Control,R1,658826.7,0.015070152,-1.82188237,0812_0815
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,0812_0815-Control,R2,745799,0.018293775,-1.73769666,0812_0815
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,0812_0815-Control,R3,262376.2333,0.007128142,-2.147023672,0812_0815
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,0812_0815-Control,R1,497953.7,0.011390306,-1.943464597,0812_0815
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,0812_0815-Control,R2,529071.7,0.012977651,-1.886803925,0812_0815
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,0812_0815-Control,R3,203700.2667,0.005534055,-2.256956568,0812_0815
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,0812_0815-Control,R1,264172.0667,0.006042732,-2.218766667,0812_0815
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,0812_0815-Control,R2,201645.7333,0.004946188,-2.305729419,0812_0815
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,0812_0815-Control,R3,260616.9333,0.007080346,-2.149945535,0812_0815
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,0812_0815-Control,R1,12442.1,0.000284603,-3.545759874,0812_0815
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,0812_0815-Control,R2,206209.7333,0.005058138,-2.296009296,0812_0815
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,0812_0815-Control,R3,482346.6333,0.013104217,-1.882588914,0812_0815
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,0812_0815-Control,R1,1156211.333,0.026447441,-1.577616339,0812_0815
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,0812_0815-Control,R2,954702,0.023417977,-1.630450624,0812_0815
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,0812_0815-Control,R3,2163440.333,0.058775557,-1.230803243,0812_0815
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,0812_0815-Control,R1,532808.6667,0.012187587,-1.914082281,0812_0815
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,0812_0815-Control,R2,642236.3333,0.015753477,-1.802623585,0812_0815
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,0812_0815-Control,R3,327594.9667,0.00889998,-2.050610945,0812_0815
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,0812_0815-Control,R1,1094147.367,0.025027776,-1.601577742,0812_0815
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,0812_0815-Control,R2,388213.4,0.009522524,-2.021247935,0812_0815
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,0812_0815-Control,R3,380864.6,0.01034719,-1.985177557,0812_0815
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,0812_0815-Control,R1,931628.0667,0.021310272,-1.671410997,0812_0815
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,0812_0815-Control,R2,16426.8,0.000402935,-3.394765487,0812_0815
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,0812_0815-Control,R3,210350.9,0.005714736,-2.243003791,0812_0815
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,0812_0815-Control,R1,1344370.033,0.030751426,-1.512134738,0812_0815
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,0812_0815-Control,R2,1316470.033,0.03229182,-1.490907479,0812_0815
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,0812_0815-Control,R3,1117620.967,0.030363119,-1.517653625,0812_0815
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,0812_0815-Control,R1,1314147.367,0.030060106,-1.522009492,0812_0815
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,0812_0815-Control,R2,4308213.4,0.10567658,-0.976021249,0812_0815
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,0812_0815-Control,R3,4985432.3,0.135442405,-0.868245342,0812_0815
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,0812_0815-Control,R1,1450308.333,0.033174683,-1.479193219,0812_0815
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,0812_0815-Control,R2,1209114.667,0.02965849,-1.527850967,0812_0815
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,0812_0815-Control,R3,1120863.3,0.030451205,-1.516395516,0812_0815
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,0812_0815-Control,R1,3470000,0.07937357,-1.100324086,0812_0815
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,0812_0815-Control,R2,3566666.667,0.087487109,-1.058055934,0812_0815
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,0812_0815-Control,R3,3286666.667,0.089290961,-1.049192505,0812_0815
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,0812_0815-Control,R1,736343.4,0.016843287,-1.773573163,0812_0815
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,0812_0815-Control,R2,1591474.667,0.039037435,-1.408518727,0812_0815
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,0812_0815-Control,R3,1296585,0.035225148,-1.453147172,0812_0815
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,0812_0815-Control,R1,663413.3333,0.015175068,-1.818869365,0812_0815
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,0812_0815-Control,R2,608242.3333,0.014919635,-1.826241813,0812_0815
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,0812_0815-Control,R3,514741.2667,0.013984303,-1.854359179,0812_0815
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,0812_0815-Control,R1,1501762.033,0.034351647,-1.464052441,0812_0815
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,0812_0815-Control,R2,843233.7,0.02068376,-1.684370502,0812_0815
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,0812_0815-Control,R3,1157642.633,0.031450413,-1.502373653,0812_0815
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,0812_0815-Control,R1,100076666.7,2.289176455,0.35967927,0812_0815
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,0812_0815-Control,R2,84093333.33,2.062733449,0.314443111,0812_0815
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,0812_0815-Control,R3,58926666.67,1.600898175,0.204363709,0812_0815
P00761,TRYP_PIG,Tryp_pig,Trypsin,0812_0815-Control,R1,5084147.367,0.116295944,-0.934435431,0812_0815
P00761,TRYP_PIG,Tryp_pig,Trypsin,0812_0815-Control,R2,5197440.033,0.127488506,-0.894528969,0812_0815
P00761,TRYP_PIG,Tryp_pig,Trypsin,0812_0815-Control,R3,4508765.633,0.122492499,-0.911890504,0812_0815
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",0812_0815-Control,R1,12442.1,0.000284603,-3.545759874,0812_0815
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",0812_0815-Control,R2,991488.6667,0.024320321,-1.614030702,0812_0815
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",0812_0815-Control,R3,152595.6,0.004145662,-2.382406154,0812_0815
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,0812_0815-Control,R1,1078490.733,0.024669643,-1.607837143,0812_0815
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,0812_0815-Control,R2,1614880.067,0.039611548,-1.402178183,0812_0815
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,0812_0815-Control,R3,2038363.3,0.05537751,-1.256666574,0812_0815
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,0812_0815-Control,R1,1250000,0.028592785,-1.543743548,0812_0815
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,0812_0815-Control,R2,1359285,0.033342032,-1.477007932,0812_0815
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,0812_0815-Control,R3,1616666.667,0.04392101,-1.357327682,0812_0815
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,0812_0815-Control,R1,5162143.333,0.118080042,-0.927823502,0812_0815
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,0812_0815-Control,R2,3452268.033,0.084681014,-1.07221395,0812_0815
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,0812_0815-Control,R3,5751122.667,0.156244402,-0.806195535,0812_0815
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,0812_0815-Control,R1,946189.3667,0.021643351,-1.664675498,0812_0815
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,0812_0815-Control,R2,927408.6667,0.022748496,-1.643047306,0812_0815
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,0812_0815-Control,R3,597225.9667,0.016225217,-1.789809483,0812_0815
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,0812_0815-Control,R1,735775.4333,0.016830295,-1.773908278,0812_0815
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,0812_0815-Control,R2,2112354.833,0.051814155,-1.285551584,0812_0815
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,0812_0815-Control,R3,1557531.267,0.042314441,-1.373511392,0812_0815
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,0812_0815-Control,R1,16589.46667,0.000379471,-3.420821137,0812_0815
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,0812_0815-Control,R2,20129.76667,0.000493765,-3.306479716,0812_0815
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,0812_0815-Control,R3,21729.2,0.000590331,-3.228904428,0812_0815
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,0812_0815-Control,R1,385587.4,0.008820014,-2.054530727,0812_0815
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,0812_0815-Control,R2,399501.4,0.009799408,-2.008800151,0812_0815
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,0812_0815-Control,R3,304907.9,0.008283627,-2.081779489,0812_0815
P0A136,KAD_PSEPK,Adk,Adenylate kinase,0812_0815-Control,R1,6070814.033,0.138865182,-0.857406632,0812_0815
P0A136,KAD_PSEPK,Adk,Adenylate kinase,0812_0815-Control,R2,5277440.033,0.129450833,-0.887895149,0812_0815
P0A136,KAD_PSEPK,Adk,Adenylate kinase,0812_0815-Control,R3,4942098.967,0.134265141,-0.872036727,0812_0815
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,0812_0815-Control,R1,8920000,0.204038111,-0.690288707,0812_0815
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,0812_0815-Control,R2,3446666.667,0.084543618,-1.072919173,0812_0815
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,0812_0815-Control,R3,3383333.333,0.091917165,-1.036603378,0812_0815
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,0812_0815-Control,R1,1927480.7,0.044089632,-1.355663523,0812_0815
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,0812_0815-Control,R2,1827440.033,0.044825452,-1.348475322,0812_0815
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,0812_0815-Control,R3,2218765.633,0.060278615,-1.219836735,0812_0815
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,0812_0815-Control,R1,3668272.333,0.083908896,-1.076191991,0812_0815
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,0812_0815-Control,R2,2735754.667,0.067105589,-1.173241308,0812_0815
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,0812_0815-Control,R3,2027731.333,0.055088665,-1.258937753,0812_0815
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,0812_0815-Control,R1,359108.7667,0.008214336,-2.085427554,0812_0815
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,0812_0815-Control,R2,98900.43333,0.002425938,-2.615120262,0812_0815
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,0812_0815-Control,R3,21729.2,0.000590331,-3.228904428,0812_0815
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,0812_0815-Control,R1,247162.1,0.005653642,-2.247671685,0812_0815
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,0812_0815-Control,R2,405532.0667,0.009947335,-2.002293256,0812_0815
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,0812_0815-Control,R3,1178765.633,0.032024275,-1.4945207,0812_0815
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,0812_0815-Control,R1,30837480.7,0.705383553,-0.15157467,0812_0815
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,0812_0815-Control,R2,24584106.7,0.603025914,-0.219664024,0812_0815
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,0812_0815-Control,R3,19785432.3,0.537523404,-0.269602622,0812_0815
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,0812_0815-Control,R1,12846666.67,0.293857578,-0.531863106,0812_0815
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,0812_0815-Control,R2,8610000,0.211195517,-0.675315305,0812_0815
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,0812_0815-Control,R3,8256666.667,0.224314107,-0.649143414,0812_0815
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,0812_0815-Control,R1,1400814.033,0.032042539,-1.494273077,0812_0815
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,0812_0815-Control,R2,2026666.667,0.049712301,-1.303536132,0812_0815
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,0812_0815-Control,R3,2056666.667,0.055874769,-1.252784256,0812_0815
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,0812_0815-Control,R1,4150000,0.094928045,-1.022605464,0812_0815
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,0812_0815-Control,R2,4186666.667,0.102695149,-0.988450072,0812_0815
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,0812_0815-Control,R3,3906666.667,0.106134894,-0.974141808,0812_0815
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,0812_0815-Control,R1,1010567.367,0.023115948,-1.636088291,0812_0815
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,0812_0815-Control,R2,282712.4333,0.00693468,-2.158973548,0812_0815
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,0812_0815-Control,R3,623805.9333,0.016947332,-1.770898664,0812_0815
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,0812_0815-Control,R1,12516666.67,0.286309083,-0.543164874,0812_0815
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,0812_0815-Control,R2,11904106.7,0.291996976,-0.534621646,0812_0815
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,0812_0815-Control,R3,9938765.633,0.270012758,-0.568615716,0812_0815
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",0812_0815-Control,R1,12442.1,0.000284603,-3.545759874,0812_0815
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",0812_0815-Control,R2,12320.1,0.000302201,-3.519704224,0812_0815
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",0812_0815-Control,R3,16296.9,0.000442748,-3.353843165,0812_0815
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,0812_0815-Control,R1,102673333.3,2.3485732,0.370804101,0812_0815
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,0812_0815-Control,R2,90863100,2.228789705,0.348069093,0812_0815
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,0812_0815-Control,R3,72495410.33,1.969528851,0.294362347,0812_0815
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",0812_0815-Control,R1,12442.1,0.000284603,-3.545759874,0812_0815
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",0812_0815-Control,R2,66937.06667,0.001641906,-2.78465178,0812_0815
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",0812_0815-Control,R3,16296.9,0.000442748,-3.353843165,0812_0815
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",0812_0815-Control,R1,12442.1,0.000284603,-3.545759874,0812_0815
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",0812_0815-Control,R2,12320.1,0.000302201,-3.519704224,0812_0815
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",0812_0815-Control,R3,16296.9,0.000442748,-3.353843165,0812_0815
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,0812_0815-Control,R1,2933333.333,0.067097734,-1.173292144,0812_0815
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,0812_0815-Control,R2,1920773.367,0.047114834,-1.326842331,0812_0815
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,0812_0815-Control,R3,2073333.333,0.056327563,-1.249279035,0812_0815
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,0812_0815-Control,R1,12442.1,0.000284603,-3.545759874,0812_0815
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,0812_0815-Control,R2,12320.1,0.000302201,-3.519704224,0812_0815
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,0812_0815-Control,R3,16296.9,0.000442748,-3.353843165,0812_0815
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,0812_0815-Control,R1,3913333.333,0.089514478,-1.048106719,0812_0815
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,0812_0815-Control,R2,3306666.667,0.081109544,-1.090928039,0812_0815
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,0812_0815-Control,R3,2380960.333,0.064685061,-1.189196005,0812_0815
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,0812_0815-Control,R1,1057312.667,0.024185211,-1.616450126,0812_0815
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,0812_0815-Control,R2,1366666.667,0.033523098,-1.474655855,0812_0815
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,0812_0815-Control,R3,1430000,0.038849718,-1.410612128,0812_0815
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,0812_0815-Control,R1,11947480.7,0.273289393,-0.563377223,0812_0815
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,0812_0815-Control,R2,9045910.7,0.221888012,-0.65386616,0812_0815
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,0812_0815-Control,R3,7940864.6,0.215734511,-0.666080375,0812_0815
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",0812_0815-Control,R1,370490.0333,0.008474673,-2.071877032,0812_0815
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",0812_0815-Control,R2,308981.3667,0.007579034,-2.120386167,0812_0815
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",0812_0815-Control,R3,232362.6,0.006312742,-2.199781938,0812_0815
