Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance,Type
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,0812_0815-Control,1860000,0.038436017,-1.415261628,Control
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,0812_0815-Control,1563333.333,0.032166079,-1.492601878,Control
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,0812_0815-Control,1200000,0.028913829,-1.538894385,Control
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,0812_0815-Control,2187988.667,0.043544503,-1.361066661,Control
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,0812_0815-Control,1924474.667,0.03789799,-1.42138382,Control
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,0812_0815-Control,1915128,0.038110152,-1.41895932,Control
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,0812_0815-Control,2001779,0.037577748,-1.42506925,Control
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,0812_0815-Control,1968442.667,0.037913402,-1.421207244,Control
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,0812_0815-Control,1477138,0.030255676,-1.519193145,Control
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,0812_0815-Control,1978017.333,0.038611406,-1.413284389,Control
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,0812_0815-Control,1287490.557,0.025139244,-1.599647784,Control
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,0812_0815-Control,2193539,0.043806015,-1.358466255,Control
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,0812_0815-Control,2566396,0.053033354,-1.275450903,Control
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,0812_0815-Control,2719300.667,0.055950473,-1.252196236,Control
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,0812_0815-Control,1099398.667,0.026489855,-1.576920425,Control
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,0812_0815-Control,866353.5333,0.017241832,-1.763416579,Control
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,0812_0815-Control,1117924.333,0.022014883,-1.657283609,Control
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,0812_0815-Control,501205.0667,0.009973747,-2.001141673,Control
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,0812_0815-Control,571138,0.010721503,-1.969744322,Control
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,0812_0815-Control,878738.6667,0.016925041,-1.771470277,Control
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,0812_0815-Control,893002.3333,0.018291039,-1.737761622,Control
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,0812_0815-Control,879930.6667,0.017176472,-1.765066028,Control
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,0812_0815-Control,459113.2233,0.008964539,-2.047472035,Control
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,0812_0815-Control,803363.6333,0.016043553,-1.794699448,Control
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,0812_0815-Control,760964.4,0.015724968,-1.803410233,Control
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,0812_0815-Control,556937.85,0.011459173,-1.940846732,Control
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,0812_0815-Control,294634.2,0.007099169,-2.148792475,Control
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,0812_0815-Control,13813.2,0.000274905,-3.560817429,Control
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,0812_0815-Control,5166.31,0.000101738,-3.992515556,Control
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,0812_0815-Control,330653.0667,0.006579841,-2.181784571,Control
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,0812_0815-Control,12886,0.000241898,-3.616367251,Control
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,0812_0815-Control,43926.33333,0.000846048,-3.072605061,Control
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,0812_0815-Control,18323,0.000375303,-3.425617634,Control
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,0812_0815-Control,230318.9333,0.004495885,-2.347184841,Control
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,0812_0815-Control,9039.67,0.000176507,-3.75323926,Control
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,0812_0815-Control,301526.9333,0.006021636,-2.220285505,Control
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,0812_0815-Control,22054.46667,0.000455745,-3.341278013,Control
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,0812_0815-Control,33393.53333,0.000687083,-3.162991092,Control
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,0812_0815-Control,22530.8,0.000542876,-3.265299019,Control
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,0812_0815-Control,343982.7333,0.006845811,-2.164575086,Control
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,0812_0815-Control,282725.4367,0.005567611,-2.254331135,Control
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,0812_0815-Control,288173.7333,0.005734523,-2.241502733,Control
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,0812_0815-Control,308794,0.005796735,-2.236816525,Control
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,0812_0815-Control,368976.6667,0.007106715,-2.148331111,Control
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,0812_0815-Control,245058.6667,0.005019447,-2.29934415,Control
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,0812_0815-Control,158594.6,0.003095807,-2.509226086,Control
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,0812_0815-Control,287890.5567,0.005621285,-2.250164417,Control
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,0812_0815-Control,271579.3,0.005423567,-2.265714951,Control
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,0812_0815-Control,556583.3333,0.01150153,-1.939244375,Control
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,0812_0815-Control,405854.3333,0.008350582,-2.078283278,Control
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,0812_0815-Control,155770.8667,0.003753277,-2.425589395,Control
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,0812_0815-Control,1222763.667,0.024334969,-1.613769204,Control
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,0812_0815-Control,898388.77,0.017691648,-1.752231704,Control
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,0812_0815-Control,966551.6667,0.019233926,-1.715932052,Control
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,0812_0815-Control,1318821.667,0.024757153,-1.606299305,Control
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,0812_0815-Control,1426666.667,0.027478467,-1.5610075,Control
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,0812_0815-Control,1249721,0.025597577,-1.591801148,Control
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,0812_0815-Control,933943,0.018230807,-1.73919411,Control
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,0812_0815-Control,1303333.333,0.025448587,-1.594336334,Control
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,0812_0815-Control,896890,0.017911319,-1.746872434,Control
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,0812_0815-Control,945812.3333,0.019544763,-1.7089696,Control
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,0812_0815-Control,939651.3333,0.019333624,-1.713686731,Control
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,0812_0815-Control,1148327.333,0.027668784,-1.558009929,Control
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,0812_0815-Control,1236666.667,0.024611661,-1.608859075,Control
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,0812_0815-Control,1013526.333,0.019959011,-1.699860981,Control
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,0812_0815-Control,993000.6667,0.019760249,-1.704207586,Control
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,0812_0815-Control,982026,0.018434765,-1.734362392,Control
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,0812_0815-Control,1087227.667,0.020940666,-1.679009519,Control
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,0812_0815-Control,1170800.333,0.023981074,-1.620131378,Control
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,0812_0815-Control,1042431.333,0.020348527,-1.691467025,Control
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,0812_0815-Control,1200987.333,0.023450202,-1.629853409,Control
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,0812_0815-Control,1113488,0.022236884,-1.652926075,Control
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,0812_0815-Control,1251134,0.02585409,-1.587470746,Control
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,0812_0815-Control,1126306,0.023174103,-1.634997068,Control
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,0812_0815-Control,530420.9333,0.012780417,-1.893454976,Control
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,0812_0815-Control,1170024.067,0.023285366,-1.632916934,Control
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,0812_0815-Control,1391346.333,0.027399285,-1.56226077,Control
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,0812_0815-Control,577991.4667,0.01150176,-1.939235699,Control
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,0812_0815-Control,1545066,0.029004251,-1.537538343,Control
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,0812_0815-Control,945072.6667,0.018202674,-1.739864811,Control
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,0812_0815-Control,897800.6667,0.018389322,-1.735434292,Control
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,0812_0815-Control,1537117.633,0.03000493,-1.522807377,Control
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,0812_0815-Control,1628277.333,0.031793368,-1.497663459,Control
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,0812_0815-Control,1471558.667,0.029387725,-1.531834035,Control
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,0812_0815-Control,968595.4667,0.020015565,-1.69863214,Control
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,0812_0815-Control,945946,0.019463139,-1.71078712,Control
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,0812_0815-Control,953158.6667,0.022966223,-1.63891043,Control
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",0812_0815-Control,602313.4667,0.011987009,-1.921289156,Control
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",0812_0815-Control,936426.77,0.018440717,-1.734222198,Control
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",0812_0815-Control,802038.0667,0.015960183,-1.796962145,Control
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",0812_0815-Control,634508,0.011911096,-1.924048276,Control
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",0812_0815-Control,736564.3333,0.014186677,-1.848119329,Control
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",0812_0815-Control,496748,0.010174707,-1.992478089,Control
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",0812_0815-Control,565852.3,0.011045582,-1.956811396,Control
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",0812_0815-Control,525663.89,0.010263992,-1.988683692,Control
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",0812_0815-Control,749645.3,0.014970772,-1.824755793,Control
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",0812_0815-Control,606435.9,0.01253171,-1.90198967,Control
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",0812_0815-Control,560823.85,0.011539128,-1.937826991,Control
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",0812_0815-Control,504274.5333,0.012150423,-1.915408595,Control
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,0812_0815-Control,237083.8,0.00471835,-2.32620985,Control
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,0812_0815-Control,443545.1033,0.008734575,-2.058758229,Control
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,0812_0815-Control,209110.8,0.004161207,-2.380780663,Control
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,0812_0815-Control,472286.6667,0.008865849,-2.052279694,Control
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,0812_0815-Control,1046883.333,0.020163609,-1.695431728,Control
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,0812_0815-Control,469375.3333,0.009614043,-2.017093953,Control
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,0812_0815-Control,1394550,0.027221974,-1.565080391,Control
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,0812_0815-Control,934840,0.018253471,-1.738654549,Control
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,0812_0815-Control,344645.9667,0.006882743,-2.162238415,Control
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,0812_0815-Control,512731.7333,0.010595358,-1.974884376,Control
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,0812_0815-Control,421769.1833,0.008678035,-2.061578621,Control
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,0812_0815-Control,105016.8667,0.002530366,-2.596816575,Control
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,0812_0815-Control,229454.0667,0.004566506,-2.34041597,Control
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,0812_0815-Control,520469.3333,0.010249416,-1.989300873,Control
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,0812_0815-Control,472847.3333,0.009409441,-2.026436182,Control
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,0812_0815-Control,465089,0.008730733,-2.058949311,Control
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,0812_0815-Control,486842.6667,0.009376886,-2.027941381,Control
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,0812_0815-Control,453208.3333,0.0092829,-2.032316329,Control
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,0812_0815-Control,390111,0.007615067,-2.118326285,Control
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,0812_0815-Control,206593.2233,0.004033892,-2.394275765,Control
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,0812_0815-Control,293071.9667,0.005852786,-2.232637337,Control
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,0812_0815-Control,451597.3333,0.009332044,-2.030023204,Control
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,0812_0815-Control,424199.6667,0.008728043,-2.059083143,Control
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,0812_0815-Control,302056.2667,0.007278003,-2.137987781,Control
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,0812_0815-Control,520093.0667,0.010350691,-1.985030665,Control
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,0812_0815-Control,791808,0.015592791,-1.807076133,Control
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,0812_0815-Control,537997.1333,0.010705891,-1.970377164,Control
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,0812_0815-Control,695134.3333,0.013049184,-1.884416639,Control
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,0812_0815-Control,746715.3333,0.014382191,-1.842174945,Control
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,0812_0815-Control,568675.6667,0.011647975,-1.93374957,Control
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,0812_0815-Control,640356.6333,0.012499926,-1.903092569,Control
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,0812_0815-Control,710449.5567,0.013872074,-1.857858589,Control
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,0812_0815-Control,518629.6,0.010357279,-1.984754316,Control
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,0812_0815-Control,618208.4,0.012774983,-1.893639671,Control
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,0812_0815-Control,482211.3667,0.009921652,-2.003416022,Control
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,0812_0815-Control,30041.06667,0.000723835,-3.140360282,Control
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,0812_0815-Control,113131.5333,0.0022515,-2.647528056,Control
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,0812_0815-Control,727137.6667,0.014319262,-1.844079376,Control
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,0812_0815-Control,506547.7333,0.010080063,-1.99653675,Control
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,0812_0815-Control,573433,0.010764585,-1.968002696,Control
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,0812_0815-Control,751599.6667,0.014476266,-1.839343435,Control
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,0812_0815-Control,356256.3333,0.007297068,-2.136851622,Control
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,0812_0815-Control,187616.6,0.003662324,-2.43624322,Control
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,0812_0815-Control,509357.5567,0.009945598,-2.002369083,Control
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,0812_0815-Control,753116.3333,0.015040091,-1.822749549,Control
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,0812_0815-Control,364184.4,0.007525698,-2.123453234,Control
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,0812_0815-Control,462843.3667,0.009523149,-2.021219422,Control
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,0812_0815-Control,166107.8,0.004002344,-2.397685605,Control
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,0812_0815-Control,599873.6667,0.011938453,-1.923051932,Control
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,0812_0815-Control,766934.1033,0.015102959,-1.820937968,Control
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,0812_0815-Control,731541.4,0.014557332,-1.836918217,Control
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,0812_0815-Control,637776.6667,0.011972456,-1.921816752,Control
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,0812_0815-Control,530550.6667,0.010218728,-1.990603149,Control
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,0812_0815-Control,536482,0.010988564,-1.959059061,Control
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,0812_0815-Control,561169.3,0.010954169,-1.960420578,Control
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,0812_0815-Control,533484.2233,0.01041669,-1.982270256,Control
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,0812_0815-Control,740730.6333,0.014792742,-1.82995131,Control
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,0812_0815-Control,510028.7333,0.010539502,-1.977179929,Control
