Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Counts_sum
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,PP_0815,R2,517320.62
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,PP_0815,R3,876841.7
A0A140FW50,A0A140FW50_PSEPK,Pp_5495,Uncharacterized protein,PP_0815,R1,5753.48
A0A140FW50,A0A140FW50_PSEPK,Pp_5495,Uncharacterized protein,PP_0815,R2,17163.3
A0A140FW50,A0A140FW50_PSEPK,Pp_5495,Uncharacterized protein,PP_0815,R3,27359.8
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0815,R1,859451.68
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0815,R2,512807.42
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0815,R3,670692.673
A0A140FW79,A0A140FW79_PSEPK,Pp_5525,Secreted protein,PP_0815,R1,277363
A0A140FW79,A0A140FW79_PSEPK,Pp_5525,Secreted protein,PP_0815,R2,235742
A0A140FW79,A0A140FW79_PSEPK,Pp_5525,Secreted protein,PP_0815,R3,224546
A0A140FW85,A0A140FW85_PSEPK,Pp_5531,DUF1993 domain-containing protein,PP_0815,R1,1391506.96
A0A140FW85,A0A140FW85_PSEPK,Pp_5531,DUF1993 domain-containing protein,PP_0815,R2,1221782.84
A0A140FW85,A0A140FW85_PSEPK,Pp_5531,DUF1993 domain-containing protein,PP_0815,R3,1131321.746
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0815,R1,46027.84
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0815,R2,47131.36
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0815,R3,94325.011
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0815,R1,321712.06
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0815,R2,433564.84
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0815,R3,432473.373
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0815,R1,187082.48
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0815,R2,248408.22
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0815,R3,240329.573
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0815,R1,434644.58
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0815,R2,450626.82
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0815,R3,429748.573
A0A140FWH0,A0A140FWH0_PSEPK,Pp_5618,Cro/CI transcriptional regulator,PP_0815,R1,78247.9
A0A140FWH0,A0A140FWH0_PSEPK,Pp_5618,Cro/CI transcriptional regulator,PP_0815,R2,55338.6
A0A140FWH0,A0A140FWH0_PSEPK,Pp_5618,Cro/CI transcriptional regulator,PP_0815,R3,81639.5
A0A140FWI6,A0A140FWI6_PSEPK,Pp_5633,Uncharacterized protein,PP_0815,R1,126270.48
A0A140FWI6,A0A140FWI6_PSEPK,Pp_5633,Uncharacterized protein,PP_0815,R2,152948.42
A0A140FWI6,A0A140FWI6_PSEPK,Pp_5633,Uncharacterized protein,PP_0815,R3,1321.746
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,PP_0815,R1,320676.8
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,PP_0815,R2,434315.3
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,PP_0815,R3,385325.2
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0815,R1,172192.34
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0815,R2,159443.94
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0815,R3,204838.173
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0815,R1,244584.58
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0815,R2,319794.42
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0815,R3,294341.373
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,PP_0815,R1,209245.68
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,PP_0815,R2,152286.64
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,PP_0815,R3,126733.619
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0815,R1,11506.96
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0815,R2,11782.84
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0815,R3,520577.873
A0A140FWK9,A0A140FWK9_PSEPK,Pp_5659,Uncharacterized protein,PP_0815,R1,71074.4
A0A140FWK9,A0A140FWK9_PSEPK,Pp_5659,Uncharacterized protein,PP_0815,R2,35474.7
A0A140FWK9,A0A140FWK9_PSEPK,Pp_5659,Uncharacterized protein,PP_0815,R3,50489.6
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0815,R1,635688.48
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0815,R2,630359.12
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0815,R3,775560.9
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0815,R1,447571.16
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0815,R2,1005987.4
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0815,R3,670424.992
A0A140FWM4,A0A140FWM4_PSEPK,Ccmh,Cytochrome c-type biogenesis protein,PP_0815,R1,33246.7
A0A140FWM4,A0A140FWM4_PSEPK,Ccmh,Cytochrome c-type biogenesis protein,PP_0815,R2,5891.42
A0A140FWM4,A0A140FWM4_PSEPK,Ccmh,Cytochrome c-type biogenesis protein,PP_0815,R3,660.873
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0815,R1,614913.42
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0815,R2,1080423.94
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0815,R3,936803.419
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0815,R1,57534.8
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0815,R2,151875.38
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0815,R3,6608.73
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0815,R1,2539093
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0815,R2,2119414.42
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0815,R3,1959359.873
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0815,R1,478182.04
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0815,R2,284066.68
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0815,R3,305654.492
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0815,R1,636812.48
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0815,R2,626349.42
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0815,R3,755624.873
A0A140FWR3,A0A140FWR3_PSEPK,Pp_5710,Lipoprotein,PP_0815,R1,5753.48
A0A140FWR3,A0A140FWR3_PSEPK,Pp_5710,Lipoprotein,PP_0815,R2,5891.42
A0A140FWR3,A0A140FWR3_PSEPK,Pp_5710,Lipoprotein,PP_0815,R3,660.873
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0815,R1,8953666.86
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0815,R2,8360305.78
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0815,R3,8115096.265
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0815,R1,722759.98
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0815,R2,559827.14
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0815,R3,977837.6
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0815,R1,322202.78
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0815,R2,308911.16
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0815,R3,358191.673
A0A140FWS6,A0A140FWS6_PSEPK,Pp_5721,TIGR02449 family protein,PP_0815,R1,102272
A0A140FWS6,A0A140FWS6_PSEPK,Pp_5721,TIGR02449 family protein,PP_0815,R2,88182.6
A0A140FWS6,A0A140FWS6_PSEPK,Pp_5721,TIGR02449 family protein,PP_0815,R3,96776.7
A0A140FWS9,A0A140FWS9_PSEPK,Pp_5724,Gamma-glutamylcyclotransferase AIG2-like domain-containing protein,PP_0815,R1,176932
A0A140FWS9,A0A140FWS9_PSEPK,Pp_5724,Gamma-glutamylcyclotransferase AIG2-like domain-containing protein,PP_0815,R2,110991
A0A140FWS9,A0A140FWS9_PSEPK,Pp_5724,Gamma-glutamylcyclotransferase AIG2-like domain-containing protein,PP_0815,R3,138033
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0815,R1,2482843.68
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0815,R2,2228729.64
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0815,R3,2338348.373
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0815,R1,241213025.4
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0815,R2,243452371.6
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0815,R3,219678372.8
P00761,TRYP_PIG,Nan,Trypsin,PP_0815,R1,11716453.2
P00761,TRYP_PIG,Nan,Trypsin,PP_0815,R2,16076508.5
P00761,TRYP_PIG,Nan,Trypsin,PP_0815,R3,14519777.4
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0815,R1,105502.56
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0815,R2,182142.72
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0815,R3,1134999.888
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0815,R1,1547460.4
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0815,R2,1285064.98
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0815,R3,1385423.373
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0815,R1,1235002.12
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0815,R2,1071472.2
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0815,R3,1041593.892
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0815,R1,6091146.96
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0815,R2,6379887.42
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0815,R3,6359961.873
P0A122,FER1_PSEPK,Fdxa,Ferredoxin 1,PP_0815,R1,73280.78
P0A122,FER1_PSEPK,Fdxa,Ferredoxin 1,PP_0815,R2,118803.8
P0A122,FER1_PSEPK,Fdxa,Ferredoxin 1,PP_0815,R3,165347.1
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0815,R1,579193.46
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0815,R2,931685.52
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0815,R3,802762.973
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0815,R1,1961193.16
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0815,R2,1922557.72
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0815,R3,1828280.93
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,PP_0815,R1,190206.6
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,PP_0815,R2,142397.4
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,PP_0815,R3,133810.6
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,PP_0815,R1,1795692.38
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,PP_0815,R2,1720701.18
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,PP_0815,R3,1587323.392
P0A136,KAD_PSEPK,Adk,Adenylate kinase,PP_0815,R1,8548692.46
P0A136,KAD_PSEPK,Adk,Adenylate kinase,PP_0815,R2,9534334.4
P0A136,KAD_PSEPK,Adk,Adenylate kinase,PP_0815,R3,8945713.538
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,PP_0815,R1,17984170.1
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,PP_0815,R2,15096159.32
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,PP_0815,R3,14964406.1
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,PP_0815,R1,2058351.9
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,PP_0815,R2,1927619.04
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,PP_0815,R3,2065048.365
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,PP_0815,R1,3176010.78
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,PP_0815,R2,2694303.64
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,PP_0815,R3,3128689.146
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,PP_0815,R1,368753.86
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,PP_0815,R2,142496.68
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,PP_0815,R3,417744.846
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,PP_0815,R1,838093.54
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,PP_0815,R2,1096037.68
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,PP_0815,R3,370557.211
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,PP_0815,R1,25251412.92
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,PP_0815,R2,23013189.68
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,PP_0815,R3,21463260.25
P0A161,RL34_PSEPK,Rpmh,Large ribosomal subunit protein bL34,PP_0815,R1,472264.48
P0A161,RL34_PSEPK,Rpmh,Large ribosomal subunit protein bL34,PP_0815,R2,419956.5
P0A161,RL34_PSEPK,Rpmh,Large ribosomal subunit protein bL34,PP_0815,R3,417836.873
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,PP_0815,R1,4911743.2
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,PP_0815,R2,5834011.42
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,PP_0815,R3,5751095.9
P0A167,RNPA_PSEPK,Rnpa,Ribonuclease P protein component,PP_0815,R1,11506.96
P0A167,RNPA_PSEPK,Rnpa,Ribonuclease P protein component,PP_0815,R2,11782.84
P0A167,RNPA_PSEPK,Rnpa,Ribonuclease P protein component,PP_0815,R3,1321.746
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,PP_0815,R1,1792517.86
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,PP_0815,R2,1511012.94
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,PP_0815,R3,1735487.246
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,PP_0815,R1,5598448.32
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,PP_0815,R2,5350979.36
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,PP_0815,R3,5588334.319
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,PP_0815,R1,578796.58
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,PP_0815,R2,673000.26
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,PP_0815,R3,529724.846
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,PP_0815,R1,95633733.44
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,PP_0815,R2,92648779.84
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,PP_0815,R3,81039158.75
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",PP_0815,R1,805106.08
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",PP_0815,R2,814528.82
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",PP_0815,R3,2461157.73
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,PP_0815,R1,298769075.7
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,PP_0815,R2,298597150.3
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,PP_0815,R3,282232514.8
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",PP_0815,R1,28767.4
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",PP_0815,R2,29457.1
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",PP_0815,R3,3304.365
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",PP_0815,R1,265644.64
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",PP_0815,R2,111936.98
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",PP_0815,R3,1244225.43
P59285,ALLA_PSEPK,Alla,Ureidoglycolate lyase,PP_0815,R1,212332.38
P59285,ALLA_PSEPK,Alla,Ureidoglycolate lyase,PP_0815,R2,232201.42
P59285,ALLA_PSEPK,Alla,Ureidoglycolate lyase,PP_0815,R3,442406.3
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,PP_0815,R1,2581670.46
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,PP_0815,R2,3118604.54
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,PP_0815,R3,2993947.646
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,PP_0815,R1,28767.4
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,PP_0815,R2,29457.1
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,PP_0815,R3,3304.365
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,PP_0815,R1,5428571.62
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,PP_0815,R2,5678346.78
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,PP_0815,R3,5416306.846
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,PP_0815,R1,3235671.14
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,PP_0815,R2,2943269.2
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,PP_0815,R3,3214941.019
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,PP_0815,R1,9414696.58
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,PP_0815,R2,8774681.72
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,PP_0815,R3,7694611.319
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",PP_0815,R1,371742.3
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",PP_0815,R2,183954.92
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",PP_0815,R3,111366.746
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,PP_0815,R1,4698933.92
