Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Counts_sum
A0A140FWS6,A0A140FWS6_PSEPK,Pp_5721,TIGR02449 family protein,PP_0815,R3,59086.8
A0A140FWS9,A0A140FWS9_PSEPK,Pp_5724,Gamma-glutamylcyclotransferase AIG2-like domain-containing protein,PP_0815,R1,193154
A0A140FWS9,A0A140FWS9_PSEPK,Pp_5724,Gamma-glutamylcyclotransferase AIG2-like domain-containing protein,PP_0815,R2,193688
A0A140FWS9,A0A140FWS9_PSEPK,Pp_5724,Gamma-glutamylcyclotransferase AIG2-like domain-containing protein,PP_0815,R3,77299.3
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0815,R1,1633916.39
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0815,R2,1448021.54
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0815,R3,1474602.17
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0815,R1,156154582.8
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0815,R2,169114277.9
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0815,R3,146969041.5
P00761,TRYP_PIG,Nan,Trypsin,PP_0815,R1,13451806.63
P00761,TRYP_PIG,Nan,Trypsin,PP_0815,R2,14957475.5
P00761,TRYP_PIG,Nan,Trypsin,PP_0815,R3,18544946
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0815,R1,136705.96
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0815,R2,188075.18
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0815,R3,157373.49
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0815,R1,729950.55
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0815,R2,1003614.42
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0815,R3,684115.74
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0815,R1,1403559.06
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0815,R2,1514110.42
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0815,R3,1434781.17
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0815,R1,5564423.73
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0815,R2,5672626.76
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0815,R3,5515827.87
P0A122,FER1_PSEPK,Fdxa,Ferredoxin 1,PP_0815,R1,271488.9
P0A122,FER1_PSEPK,Fdxa,Ferredoxin 1,PP_0815,R2,240034.8
P0A122,FER1_PSEPK,Fdxa,Ferredoxin 1,PP_0815,R3,25343.59
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0815,R1,696301.26
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0815,R2,668163.06
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0815,R3,561999.67
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0815,R1,816597.19
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0815,R2,1574271.18
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0815,R3,730763.27
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,PP_0815,R1,9865.26
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,PP_0815,R2,120222.8
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,PP_0815,R3,56714.69
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,PP_0815,R1,1795052.93
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,PP_0815,R2,1618822.24
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,PP_0815,R3,794082.73
P0A136,KAD_PSEPK,Adk,Adenylate kinase,PP_0815,R1,12639477.12
P0A136,KAD_PSEPK,Adk,Adenylate kinase,PP_0815,R2,10969269.62
P0A136,KAD_PSEPK,Adk,Adenylate kinase,PP_0815,R3,10778941.45
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,PP_0815,R1,14783197.63
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,PP_0815,R2,14228165.76
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,PP_0815,R3,13171442.6
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,PP_0815,R1,3052295.59
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,PP_0815,R2,3300484.46
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,PP_0815,R3,3347619.28
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,PP_0815,R1,3072805.46
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,PP_0815,R2,3213483.04
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,PP_0815,R3,2747713.47
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,PP_0815,R1,687085.33
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,PP_0815,R2,505701.64
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,PP_0815,R3,520575.87
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,PP_0815,R1,1561107.39
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,PP_0815,R2,1812755.46
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,PP_0815,R3,1479931.87
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,PP_0815,R1,37931771.2
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,PP_0815,R2,37261314.6
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,PP_0815,R3,13309030.87
P0A161,RL34_PSEPK,Rpmh,Large ribosomal subunit protein bL34,PP_0815,R1,1026424
P0A161,RL34_PSEPK,Rpmh,Large ribosomal subunit protein bL34,PP_0815,R2,858645.5
P0A161,RL34_PSEPK,Rpmh,Large ribosomal subunit protein bL34,PP_0815,R3,1046784.8
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,PP_0815,R1,6661963.6
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,PP_0815,R2,6351440.4
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,PP_0815,R3,6383919.9
P0A167,RNPA_PSEPK,Rnpa,Ribonuclease P protein component,PP_0815,R1,9865.26
P0A167,RNPA_PSEPK,Rnpa,Ribonuclease P protein component,PP_0815,R2,8165.76
P0A167,RNPA_PSEPK,Rnpa,Ribonuclease P protein component,PP_0815,R3,11498.58
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,PP_0815,R1,1612828.99
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,PP_0815,R2,1158009.32
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,PP_0815,R3,1190379.47
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,PP_0815,R1,5372375.15
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,PP_0815,R2,5901953.42
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,PP_0815,R3,6234656.87
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,PP_0815,R1,1059228.99
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,PP_0815,R2,550259.4
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,PP_0815,R3,244835.45
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,PP_0815,R1,64026401.26
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,PP_0815,R2,65804841.96
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,PP_0815,R3,50712325.87
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",PP_0815,R1,997504.23
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",PP_0815,R2,984913.2
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",PP_0815,R3,1019460.3
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,PP_0815,R1,174673287.7
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,PP_0815,R2,174420845.8
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,PP_0815,R3,188735620.4
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",PP_0815,R1,24663.15
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",PP_0815,R2,20414.4
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",PP_0815,R3,28746.45
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",PP_0815,R1,93719.97
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",PP_0815,R2,77574.72
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",PP_0815,R3,109236.51
P59285,ALLA_PSEPK,Alla,Ureidoglycolate lyase,PP_0815,R1,131455.26
P59285,ALLA_PSEPK,Alla,Ureidoglycolate lyase,PP_0815,R2,354979
P59285,ALLA_PSEPK,Alla,Ureidoglycolate lyase,PP_0815,R3,222098.29
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,PP_0815,R1,3614238.6
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,PP_0815,R2,3498167.96
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,PP_0815,R3,2701854.27
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,PP_0815,R1,24663.15
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,PP_0815,R2,20414.4
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,PP_0815,R3,28746.45
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,PP_0815,R1,5723619.69
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,PP_0815,R2,5459190.14
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,PP_0815,R3,5552882.57
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,PP_0815,R1,3115040.79
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,PP_0815,R2,3144871.62
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,PP_0815,R3,3195441.45
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,PP_0815,R1,11862311.63
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,PP_0815,R2,10800534.76
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,PP_0815,R3,11239143.58
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",PP_0815,R1,297546.2
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",PP_0815,R2,296181.7
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",PP_0815,R3,17247.87
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,PP_0815,R1,4936794.19
