Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance,Type
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,0812_0815-Control,R1,1280308.333,0.027712744,-1.557320465,0812_0815_NONTARGET
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,0812_0815-Control,R2,1013002.333,0.021748708,-1.662566539,0812_0815_NONTARGET
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,0812_0815-Control,R3,555389.7,0.012041707,-1.91931194,0812_0815_NONTARGET
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,0812_0815-Control,R1,45891.9,0.000993347,-3.002898999,0812_0815_NONTARGET
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,0812_0815-Control,R2,1477323.6,0.031717478,-1.498701349,0812_0815_NONTARGET
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,0812_0815-Control,R3,981228.7333,0.021274556,-1.672139504,0812_0815_NONTARGET
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",0812_0815-Control,R1,186002.2,0.004026086,-2.395116957,0812_0815_NONTARGET
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",0812_0815-Control,R2,198082.7333,0.004252748,-2.371330365,0812_0815_NONTARGET
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",0812_0815-Control,R3,15790.8,0.000342369,-3.465505628,0812_0815_NONTARGET
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,0812_0815-Control,R1,240154.1333,0.005198224,-2.284144972,0812_0815_NONTARGET
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,0812_0815-Control,R2,575581.4667,0.012357477,-1.908070184,0812_0815_NONTARGET
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,0812_0815-Control,R3,765398.0333,0.016595012,-1.780022419,0812_0815_NONTARGET
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,0812_0815-Control,R1,148610.1333,0.003216721,-2.492586614,0812_0815_NONTARGET
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,0812_0815-Control,R2,234895.8,0.005043108,-2.297301734,0812_0815_NONTARGET
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,0812_0815-Control,R3,334527.9333,0.007253083,-2.139477373,0812_0815_NONTARGET
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,0812_0815-Control,R1,535574.8,0.011592713,-1.935814903,0812_0815_NONTARGET
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,0812_0815-Control,R2,466378.6,0.01001294,-1.999438371,0812_0815_NONTARGET
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,0812_0815-Control,R3,351843.1,0.007628502,-2.117560722,0812_0815_NONTARGET
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,0812_0815-Control,R1,19142.93333,0.000414356,-3.382626551,0812_0815_NONTARGET
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,0812_0815-Control,R2,369318.7333,0.007929108,-2.100775648,0812_0815_NONTARGET
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,0812_0815-Control,R3,15790.8,0.000342369,-3.465505628,0812_0815_NONTARGET
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,0812_0815-Control,R1,367425.7333,0.007953065,-2.099465468,0812_0815_NONTARGET
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,0812_0815-Control,R2,406751.8,0.00873278,-2.058847502,0812_0815_NONTARGET
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,0812_0815-Control,R3,432386.7,0.009374812,-2.028037434,0812_0815_NONTARGET
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,0812_0815-Control,R1,330749.4,0.007159192,-2.145135973,0812_0815_NONTARGET
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,0812_0815-Control,R2,334328.6,0.007177886,-2.144003455,0812_0815_NONTARGET
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,0812_0815-Control,R3,226528.4,0.004911486,-2.308787103,0812_0815_NONTARGET
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,0812_0815-Control,R1,14357.2,0.000310767,-3.507565287,0812_0815_NONTARGET
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,0812_0815-Control,R2,254657.1333,0.005467375,-2.262221139,0812_0815_NONTARGET
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,0812_0815-Control,R3,11843.1,0.000256777,-3.590444364,0812_0815_NONTARGET
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,0812_0815-Control,R1,1886968.667,0.04084413,-1.388870349,0812_0815_NONTARGET
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,0812_0815-Control,R2,1077899,0.02314201,-1.635598916,0812_0815_NONTARGET
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,0812_0815-Control,R3,1060559.667,0.022994573,-1.638374654,0812_0815_NONTARGET
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,0812_0815-Control,R1,781974.6667,0.016926129,-1.771442354,0812_0815_NONTARGET
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,0812_0815-Control,R2,827121,0.017757919,-1.750607938,0812_0815_NONTARGET
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,0812_0815-Control,R3,730460,0.015837502,-1.800313322,0812_0815_NONTARGET
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,0812_0815-Control,R1,1085635.333,0.023498976,-1.628951068,0812_0815_NONTARGET
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,0812_0815-Control,R2,774362.1333,0.016625209,-1.779232877,0812_0815_NONTARGET
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,0812_0815-Control,R3,1039410,0.022536015,-1.64712287,0812_0815_NONTARGET
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,0812_0815-Control,R1,19142.93333,0.000414356,-3.382626551,0812_0815_NONTARGET
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,0812_0815-Control,R2,125636.0667,0.00269735,-2.569062654,0812_0815_NONTARGET
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,0812_0815-Control,R3,224317.4333,0.004863549,-2.313046734,0812_0815_NONTARGET
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,0812_0815-Control,R1,1352143,0.029267632,-1.533612413,0812_0815_NONTARGET
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,0812_0815-Control,R2,1219451.8,0.026181086,-1.582012346,0812_0815_NONTARGET
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,0812_0815-Control,R3,1191245.7,0.025828048,-1.587908415,0812_0815_NONTARGET
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,0812_0815-Control,R1,6812569.667,0.147460574,-0.831324081,0812_0815_NONTARGET
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,0812_0815-Control,R2,6628661.8,0.14231441,-0.846751124,0812_0815_NONTARGET
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,0812_0815-Control,R3,711228.7333,0.015420538,-1.811900467,0812_0815_NONTARGET
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,0812_0815-Control,R1,1045791.067,0.022636532,-1.64519011,0812_0815_NONTARGET
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,0812_0815-Control,R2,1139157.8,0.024457209,-1.611593097,0812_0815_NONTARGET
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,0812_0815-Control,R3,887895.4,0.019250945,-1.715547955,0812_0815_NONTARGET
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,0812_0815-Control,R1,3663333.333,0.079294196,-1.1007586,0812_0815_NONTARGET
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,0812_0815-Control,R2,3760000,0.080725522,-1.09298914,0812_0815_NONTARGET
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,0812_0815-Control,R3,3930000,0.085208474,-1.06951721,0812_0815_NONTARGET
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,0812_0815-Control,R1,1247590.067,0.027004545,-1.568563129,0812_0815_NONTARGET
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,0812_0815-Control,R2,840867.2667,0.018053045,-1.743449539,0812_0815_NONTARGET
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,0812_0815-Control,R3,1430000,0.03100461,-1.508573723,0812_0815_NONTARGET
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,0812_0815-Control,R1,571015,0.012359829,-1.907987521,0812_0815_NONTARGET
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,0812_0815-Control,R2,750119.6667,0.016104734,-1.793046433,0812_0815_NONTARGET
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,0812_0815-Control,R3,642641.7333,0.013933466,-1.855940835,0812_0815_NONTARGET
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,0812_0815-Control,R1,349410.8,0.007563125,-2.121298713,0812_0815_NONTARGET
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,0812_0815-Control,R2,483663.4667,0.010384039,-1.983633701,0812_0815_NONTARGET
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,0812_0815-Control,R3,172325.1,0.003736275,-2.427561222,0812_0815_NONTARGET
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,0812_0815-Control,R1,87506666.67,1.894113953,0.277406103,0812_0815_NONTARGET
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,0812_0815-Control,R2,99216666.67,2.130137545,0.328407647,0812_0815_NONTARGET
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,0812_0815-Control,R3,103083333.3,2.235005997,0.349278693,0812_0815_NONTARGET
P00761,TRYP_PIG,Tryp_pig,Trypsin,0812_0815-Control,R1,14004785.73,0.303138733,-0.518358569,0812_0815_NONTARGET
P00761,TRYP_PIG,Tryp_pig,Trypsin,0812_0815-Control,R2,12440000,0.267081247,-0.573356605,0812_0815_NONTARGET
P00761,TRYP_PIG,Tryp_pig,Trypsin,0812_0815-Control,R3,13537281.03,0.293509177,-0.532378316,0812_0815_NONTARGET
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",0812_0815-Control,R1,1345543.733,0.029124789,-1.53573722,0812_0815_NONTARGET
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",0812_0815-Control,R2,252442.2667,0.005419823,-2.266014914,0812_0815_NONTARGET
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",0812_0815-Control,R3,11843.1,0.000256777,-3.590444364,0812_0815_NONTARGET
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,0812_0815-Control,R1,1847571.067,0.039991355,-1.398033885,0812_0815_NONTARGET
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,0812_0815-Control,R2,1783563.467,0.038292311,-1.416888417,0812_0815_NONTARGET
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,0812_0815-Control,R3,1597895.4,0.034644842,-1.460361414,0812_0815_NONTARGET
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,0812_0815-Control,R1,1415829,0.030646139,-1.513624234,0812_0815_NONTARGET
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,0812_0815-Control,R2,1740000,0.037357023,-1.427627737,0812_0815_NONTARGET
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,0812_0815-Control,R3,1468361,0.031836336,-1.49707692,0812_0815_NONTARGET
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,0812_0815-Control,R1,4529511.333,0.098042937,-1.008583687,0812_0815_NONTARGET
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,0812_0815-Control,R2,4460015,0.095754531,-1.018840666,0812_0815_NONTARGET
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,0812_0815-Control,R3,3154562.067,0.068395781,-1.164970684,0812_0815_NONTARGET
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,0812_0815-Control,R1,883412,0.019121777,-1.718471743,0812_0815_NONTARGET
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,0812_0815-Control,R2,729331.1333,0.015658414,-1.805252232,0812_0815_NONTARGET
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,0812_0815-Control,R3,893794.3333,0.019378843,-1.712672164,0812_0815_NONTARGET
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,0812_0815-Control,R1,1089507.467,0.023582789,-1.627404827,0812_0815_NONTARGET
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,0812_0815-Control,R2,1930656.933,0.041450343,-1.382471876,0812_0815_NONTARGET
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,0812_0815-Control,R3,2034562.067,0.04411245,-1.355438818,0812_0815_NONTARGET
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,0812_0815-Control,R1,101624.6,0.002199702,-2.657636188,0812_0815_NONTARGET
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,0812_0815-Control,R2,125697.0667,0.00269866,-2.568851842,0812_0815_NONTARGET
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,0812_0815-Control,R3,124513.7667,0.002699651,-2.56869239,0812_0815_NONTARGET
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,0812_0815-Control,R1,227163.2,0.004917031,-2.30829706,0812_0815_NONTARGET
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,0812_0815-Control,R2,334521.0667,0.007182018,-2.143753512,0812_0815_NONTARGET
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,0812_0815-Control,R3,810724.3667,0.017577757,-1.755036535,0812_0815_NONTARGET
P0A136,KAD_PSEPK,Adk,Adenylate kinase,0812_0815-Control,R1,7544785.733,0.163309659,-0.786988127,0812_0815_NONTARGET
P0A136,KAD_PSEPK,Adk,Adenylate kinase,0812_0815-Control,R2,6285328.467,0.134943197,-0.869849007,0812_0815_NONTARGET
P0A136,KAD_PSEPK,Adk,Adenylate kinase,0812_0815-Control,R3,7087281.033,0.153663207,-0.813430107,0812_0815_NONTARGET
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,0812_0815-Control,R1,5630000,0.121863419,-0.914126643,0812_0815_NONTARGET
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,0812_0815-Control,R2,3973333.333,0.085305693,-1.069021984,0812_0815_NONTARGET
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,0812_0815-Control,R3,4506666.667,0.097711499,-1.010054324,0812_0815_NONTARGET
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,0812_0815-Control,R1,2814785.733,0.060927071,-1.215189696,0812_0815_NONTARGET
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,0812_0815-Control,R2,2508661.8,0.053859849,-1.268734868,0812_0815_NONTARGET
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,0812_0815-Control,R3,2387281.033,0.051759943,-1.286006213,0812_0815_NONTARGET
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,0812_0815-Control,R1,2558042.667,0.055369773,-1.256727254,0812_0815_NONTARGET
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,0812_0815-Control,R2,2696113.333,0.05788435,-1.237438841,0812_0815_NONTARGET
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,0812_0815-Control,R3,2666438.333,0.057812504,-1.237978217,0812_0815_NONTARGET
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,0812_0815-Control,R1,396727.1333,0.008587305,-2.066143133,0812_0815_NONTARGET
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,0812_0815-Control,R2,456794.8,0.00980718,-2.008455834,0812_0815_NONTARGET
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,0812_0815-Control,R3,155559.7667,0.003372776,-2.472012478,0812_0815_NONTARGET
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,0812_0815-Control,R1,393218.4667,0.008511358,-2.070001132,0812_0815_NONTARGET
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,0812_0815-Control,R2,809719.8,0.017384323,-1.759842226,0812_0815_NONTARGET
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,0812_0815-Control,R3,1060286.367,0.022988647,-1.638486584,0812_0815_NONTARGET
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,0812_0815-Control,R1,28581452.4,0.618656039,-0.208550743,0812_0815_NONTARGET
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,0812_0815-Control,R2,30585328.47,0.656653349,-0.182663836,0812_0815_NONTARGET
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,0812_0815-Control,R3,31423947.7,0.681319756,-0.166649018,0812_0815_NONTARGET
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,0812_0815-Control,R1,12083333.33,0.26154819,-0.582448281,0812_0815_NONTARGET
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,0812_0815-Control,R2,11830000,0.253984819,-0.59519224,0812_0815_NONTARGET
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,0812_0815-Control,R3,11293333.33,0.244856922,-0.611087614,0812_0815_NONTARGET
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,0812_0815-Control,R1,2280000,0.049351438,-1.306700191,0812_0815_NONTARGET
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,0812_0815-Control,R2,2125848,0.045641008,-1.340644776,0812_0815_NONTARGET
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,0812_0815-Control,R3,2606666.667,0.056516562,-1.247824262,0812_0815_NONTARGET
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,0812_0815-Control,R1,4943333.333,0.107000266,-0.970615141,0812_0815_NONTARGET
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,0812_0815-Control,R2,4970000,0.106703681,-0.971820596,0812_0815_NONTARGET
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,0812_0815-Control,R3,5426666.667,0.117658521,-0.929376615,0812_0815_NONTARGET
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,0812_0815-Control,R1,411783.1333,0.008913197,-2.049966484,0812_0815_NONTARGET
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,0812_0815-Control,R2,169059.7333,0.003629637,-2.440136805,0812_0815_NONTARGET
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,0812_0815-Control,R3,254740.4333,0.005523166,-2.257811878,0812_0815_NONTARGET
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,0812_0815-Control,R1,22146666.67,0.479372737,-0.319326668,0812_0815_NONTARGET
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,0812_0815-Control,R2,21193333.33,0.455011406,-0.341977716,0812_0815_NONTARGET
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,0812_0815-Control,R3,20050614.37,0.434728311,-0.361782077,0812_0815_NONTARGET
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",0812_0815-Control,R1,670157.7333,0.01450581,-1.838458004,0812_0815_NONTARGET
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",0812_0815-Control,R2,15985.4,0.000343199,-3.464453477,0812_0815_NONTARGET
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",0812_0815-Control,R3,11843.1,0.000256777,-3.590444364,0812_0815_NONTARGET
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,0812_0815-Control,R1,119513333.3,2.586910013,0.412781322,0812_0815_NONTARGET
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,0812_0815-Control,R2,110800000,2.378826541,0.376362775,0812_0815_NONTARGET
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,0812_0815-Control,R3,117710000,2.552134738,0.406903599,0812_0815_NONTARGET
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",0812_0815-Control,R1,117790.0667,0.002549609,-2.59352637,0812_0815_NONTARGET
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",0812_0815-Control,R2,15985.4,0.000343199,-3.464453477,0812_0815_NONTARGET
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",0812_0815-Control,R3,11843.1,0.000256777,-3.590444364,0812_0815_NONTARGET
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",0812_0815-Control,R1,53239.46667,0.001152388,-2.938401341,0812_0815_NONTARGET
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",0812_0815-Control,R2,15985.4,0.000343199,-3.464453477,0812_0815_NONTARGET
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",0812_0815-Control,R3,11843.1,0.000256777,-3.590444364,0812_0815_NONTARGET
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,0812_0815-Control,R1,2373876,0.051383418,-1.289177008,0812_0815_NONTARGET
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,0812_0815-Control,R2,1665328.467,0.035753859,-1.446677079,0812_0815_NONTARGET
