Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of_protein_abundance_Top3-method,log10_%_abundance,Source
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812,R3,633218,0.013485303,-1.870139277,September
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812,R1,37789.06667,0.000772467,-3.112120257,September
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812,R2,417435.3667,0.008844009,-2.053350837,September
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812,R3,754068.3333,0.016058988,-1.794281825,September
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0812,R1,102506.8667,0.002095398,-2.678733464,September
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0812,R2,605088.7,0.012819733,-1.892121035,September
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0812,R3,696664.5,0.014836489,-1.828668848,September
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0812,R1,28341.8,0.00057935,-3.237058994,September
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0812,R2,243419.4,0.005157213,-2.28758489,September
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0812,R3,258288.3333,0.005500628,-2.259587739,September
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0812,R1,28341.8,0.00057935,-3.237058994,September
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0812,R2,25153.1,0.000532907,-3.273348561,September
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0812,R3,11231.5,0.000239191,-3.621254767,September
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812,R1,3046085.667,0.062266677,-1.20574431,September
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812,R2,2491576.667,0.052787875,-1.277465823,September
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812,R3,1650407.333,0.035147838,-1.454101384,September
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812,R1,323824.3333,0.006619468,-2.179176943,September
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812,R2,789619,0.01672929,-1.776522488,September
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812,R3,717068.6667,0.015271026,-1.816131783,September
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812,R1,331015.5333,0.006766467,-2.169638049,September
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812,R2,410102.0667,0.008688642,-2.06104812,September
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812,R3,675825.8333,0.0143927,-1.84185774,September
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812,R1,175870.1333,0.003595056,-2.44429433,September
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812,R2,638526.4,0.013528162,-1.86876122,September
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812,R3,918668,0.019564379,-1.70853394,September
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0812,R1,382665.1333,0.007822264,-2.106667529,September
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0812,R2,1052496.7,0.022298758,-1.651719335,September
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0812,R3,1358248.833,0.028925895,-1.538713188,September
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0812,R1,6196113.933,0.126658101,-0.897367028,September
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0812,R2,5006000.033,0.106059792,-0.97444923,September
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0812,R3,7326666.667,0.156032083,-0.806786095,September
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0812,R1,363563.5333,0.007431798,-2.128906107,September
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0812,R2,1198636,0.025394943,-1.595252761,September
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0812,R3,1325388.333,0.028226083,-1.549349385,September
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0812,R1,3393333.333,0.069364954,-1.158859899,September
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0812,R2,3280000,0.069491833,-1.158066234,September
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0812,R3,3506666.667,0.074679595,-1.126798043,September
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0812,R1,1167243.267,0.023860248,-1.622325045,September
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0812,R2,358486.4333,0.007595085,-2.119467353,September
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0812,R3,1055888.667,0.022486693,-1.6480744,September
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0812,R1,28341.8,0.00057935,-3.237058994,September
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0812,R2,25153.1,0.000532907,-3.273348561,September
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0812,R3,491004.3667,0.010456656,-1.980607174,September
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0812,R1,1417108.667,0.028967881,-1.538083269,September
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0812,R2,848467.0667,0.017976077,-1.745305088,September
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0812,R3,1862875,0.039672648,-1.401508814,September
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0812,R1,118736666.7,2.427160133,0.38509843,September
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0812,R2,122926666.7,2.604390048,0.415706027,September
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0812,R3,134266666.7,2.859405043,0.456275679,September
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0812,R1,67220000,1.374080212,0.138012086,September
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0812,R2,57786666.67,1.2242992,0.087887566,September
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0812,R3,9017077.167,0.192031846,-0.716626742,September
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0812,R1,2616666.667,0.053488692,-1.271738021,September
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0812,R2,2254654.333,0.047768312,-1.320860109,September
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0812,R3,907487.6667,0.019326277,-1.713851797,September
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0812,R1,1312227.867,0.026823956,-1.571477166,September
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0812,R2,1216768.733,0.025779113,-1.588732037,September
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0812,R3,1888758.167,0.040223868,-1.395516173,September
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0812,R1,1316843,0.026918297,-1.569952423,September
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0812,R2,1270855.333,0.02692502,-1.569843962,September
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0812,R3,1429195.667,0.030436812,-1.516600838,September
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0812,R1,4259447.667,0.087069663,-1.060133136,September
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0812,R2,3820382,0.080940655,-1.091833288,September
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0812,R3,4644631.667,0.098914224,-1.00474125,September
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0812,R1,381675.1333,0.007802027,-2.107792557,September
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0812,R2,488601.7333,0.010351777,-1.984985075,September
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0812,R3,890617.6667,0.018967006,-1.722001223,September
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0812,R1,1495561.2,0.030571572,-1.514682233,September
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0812,R2,2313435.4,0.049013679,-1.309682701,September
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0812,R3,2217487.667,0.047224643,-1.325831315,September
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,PP_0812,R1,37789.06667,0.000772467,-3.112120257,September
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,PP_0812,R2,33537.46667,0.000710543,-3.148409824,September
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,PP_0812,R3,32347.36667,0.000688884,-3.161853597,September
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,PP_0812,R1,141787.8,0.002898361,-2.537847559,September
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,PP_0812,R2,211621.1,0.004483518,-2.348381111,September
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,PP_0812,R3,478146.3333,0.010182825,-1.992131699,September
P0A136,KAD_PSEPK,Adk,Adenylate kinase,PP_0812,R1,6059447.267,0.123864424,-0.907053412,September
P0A136,KAD_PSEPK,Adk,Adenylate kinase,PP_0812,R2,7918384.367,0.167763123,-0.775303499,September
P0A136,KAD_PSEPK,Adk,Adenylate kinase,PP_0812,R3,8363743.833,0.178118158,-0.749291806,September
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,PP_0812,R1,7540000,0.1541292,-0.812115077,September
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,PP_0812,R2,4500000,0.095339405,-1.020727564,September
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,PP_0812,R3,6346666.667,0.135161549,-0.869146839,September
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,PP_0812,R1,2169447.267,0.04434684,-1.353137325,September
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,PP_0812,R2,2408384.367,0.051025318,-1.292214279,September
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,PP_0812,R3,1793201.167,0.038188842,-1.418063516,September
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,PP_0812,R1,1672661.867,0.034191782,-1.466078267,September
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,PP_0812,R2,1980402.733,0.041957871,-1.377186561,September
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,PP_0812,R3,3171583,0.067543499,-1.170416447,September
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,PP_0812,R1,37789.06667,0.000772467,-3.112120257,September
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,PP_0812,R2,603825.0333,0.01279296,-1.893028964,September
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,PP_0812,R3,428650.3333,0.009128736,-2.039589363,September
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,PP_0812,R1,1081575.667,0.022109071,-1.655429515,September
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,PP_0812,R2,408486.4333,0.008654412,-2.062762441,September
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,PP_0812,R3,899186.8333,0.019149499,-1.717842589,September
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,PP_0812,R1,26702780.6,0.545845915,-0.262929935,September
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,PP_0812,R2,24861717.7,0.526733637,-0.278408947,September
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,PP_0812,R3,31624559.83,0.673491255,-0.171668039,September
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,PP_0812,R1,12206666.67,0.249523046,-0.602889337,September
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,PP_0812,R2,13713333.33,0.290538008,-0.536797045,September
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,PP_0812,R3,10466666.67,0.222902975,-0.651884135,September
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,PP_0812,R1,1770605.333,0.036193897,-1.441364655,September
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,PP_0812,R2,1936398,0.041025563,-1.386945453,September
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,PP_0812,R3,2086666.667,0.044438619,-1.35223945,September
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,PP_0812,R1,4483333.333,0.091646231,-1.037885393,September
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,PP_0812,R2,4323333.333,0.09159645,-1.038121357,September
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,PP_0812,R3,4846666.667,0.103216855,-0.986249377,September
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,PP_0812,R1,37789.06667,0.000772467,-3.112120257,September
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,PP_0812,R2,33537.46667,0.000710543,-3.148409824,September
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,PP_0812,R3,460233.6667,0.009801349,-2.008714144,September
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,PP_0812,R1,23676113.93,0.483976192,-0.315176001,September
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,PP_0812,R2,30210000,0.640045203,-0.193789353,September
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,PP_0812,R3,21847077.17,0.465265461,-0.332299186,September
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",PP_0812,R1,1950000,0.039861,-1.399451811,September
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",PP_0812,R2,332762.3667,0.007050081,-2.151805874,September
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",PP_0812,R3,11231.5,0.000239191,-3.621254767,September
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,PP_0812,R1,127626666.7,2.608885409,0.416455004,September
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,PP_0812,R2,153066666.7,3.242952194,0.510940547,September
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,PP_0812,R3,145483333.3,3.098280365,0.491120715,September
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",PP_0812,R1,1508872.667,0.030843679,-1.510833831,September
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",PP_0812,R2,1553188,0.032906671,-1.482716052,September
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",PP_0812,R3,11231.5,0.000239191,-3.621254767,September
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",PP_0812,R1,1514577.667,0.030960298,-1.509194874,September
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",PP_0812,R2,397039.3667,0.008411888,-2.075106509,September
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",PP_0812,R3,11231.5,0.000239191,-3.621254767,September
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,PP_0812,R1,1098894.533,0.022463095,-1.64853041,September
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,PP_0812,R2,1243435.4,0.026344087,-1.579316851,September
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,PP_0812,R3,2636666.667,0.056151673,-1.2506373,September
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,PP_0812,R1,28341.8,0.00057935,-3.237058994,September
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,PP_0812,R2,25153.1,0.000532907,-3.273348561,September
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,PP_0812,R3,11231.5,0.000239191,-3.621254767,September
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,PP_0812,R1,1298699.867,0.026547423,-1.575977627,September
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,PP_0812,R2,1947193.7,0.041254286,-1.384530922,September
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,PP_0812,R3,3340000,0.071130185,-1.147946062,September
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,PP_0812,R1,1473333.333,0.0301172,-1.521185408,September
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,PP_0812,R2,1556666.667,0.032980372,-1.481744452,September
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,PP_0812,R3,1303380,0.027757383,-1.556621476,September
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,PP_0812,R1,8688681.6,0.177610019,-0.75053254,September
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,PP_0812,R2,11285051.03,0.239091122,-0.621436551,September
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,PP_0812,R3,9410821,0.200417197,-0.698065015,September
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",PP_0812,R1,247217.9333,0.005053515,-2.296406451,September
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",PP_0812,R2,264661.7333,0.005607265,-2.251248926,September
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",PP_0812,R3,262526.6667,0.005590889,-2.252519104,September
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,PP_0812,R1,2356434.667,0.04816915,-1.317231019,September
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,PP_0812,R2,2686666.667,0.056921156,-1.244726291,September
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,PP_0812,R3,2353333.333,0.050117675,-1.300009082,September
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,PP_0812,R1,4586113.933,0.093747224,-1.028041583,September
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,PP_0812,R2,4705051.033,0.099683725,-1.00137574,September
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,PP_0812,R3,5353743.833,0.114015805,-0.943034941,September
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,PP_0812,R1,11113991,0.227187074,-0.643616382,September
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,PP_0812,R2,10857395.67,0.230030586,-0.638214413,September
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,PP_0812,R3,11319235,0.241059665,-0.617875452,September
P59612,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,PP_0812,R1,2772780.6,0.056679901,-1.246570916,September
P59612,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,PP_0812,R2,2992570.333,0.063402194,-1.197895712,September
P59612,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,PP_0812,R3,2676831.667,0.057007045,-1.244071467,September
P59618,ARLY_PSEPK,Argh,Argininosuccinate lyase,PP_0812,R1,3389899.333,0.069294757,-1.159299621,September
P59618,ARLY_PSEPK,Argh,Argininosuccinate lyase,PP_0812,R2,3351746.667,0.071011896,-1.148668892,September
P59618,ARLY_PSEPK,Argh,Argininosuccinate lyase,PP_0812,R3,3588248.333,0.076416996,-1.116810037,September
P65117,IF1_PSEPK,Infa,Translation initiation factor IF-1,PP_0812,R1,754455.7333,0.015422236,-1.811852659,September
P65117,IF1_PSEPK,Infa,Translation initiation factor IF-1,PP_0812,R2,880204.1333,0.018648475,-1.729356674,September
P65117,IF1_PSEPK,Infa,Translation initiation factor IF-1,PP_0812,R3,1220099.2,0.025983797,-1.585297386,September
Q59692,FTSZ_PSEPK,Ftsz,Cell division protein FtsZ,PP_0812,R1,1533448.6,0.031346048,-1.503817199,September
Q59692,FTSZ_PSEPK,Ftsz,Cell division protein FtsZ,PP_0812,R2,1649230.367,0.034941476,-1.456658755,September
