Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundanceop3-method,log10_%_abundance
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0815,R1,2896930.333,0.070398765,-1.152434957
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0815,R2,2920000,0.073265818,-1.135098594
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0815,R3,2866156.333,0.068292425,-1.165627463
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812_15,R1,547509.7333,0.012523862,-1.902261717
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812_15,R2,781908.0333,0.019179497,-1.717162781
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812_15,R3,902098.9667,0.024507896,-1.61069398
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0815,R1,360288.8,0.008755436,-2.057722247
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0815,R2,875315.6667,0.021962575,-1.658316744
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0815,R3,688670.6667,0.016409081,-1.784915753
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812_15,R1,12442.1,0.000284603,-3.545759874
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812_15,R2,23156.36667,0.000568005,-3.245648039
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812_15,R3,21102.23333,0.000573298,-3.241619745
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0815,R1,51326.26667,0.001247288,-2.904033333
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0815,R2,123493.9667,0.003098591,-2.508835705
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0815,R3,153171.8,0.003649652,-2.437748522
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812_15,R1,464215.0333,0.01061856,-1.97393436
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812_15,R2,171908.7333,0.004216766,-2.375020516
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812_15,R3,296755.6333,0.008062149,-2.093549193
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0815,R1,207961.4667,0.005053705,-2.296390137
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0815,R2,100062.6667,0.002510676,-2.600209373
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0815,R3,190024.4667,0.004527747,-2.344117816
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812_15,R1,1318409,0.030157588,-1.520603402
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812_15,R2,398213.4,0.009767815,-2.010202586
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812_15,R3,766556.9667,0.02082554,-1.68140373
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0815,R1,786653.3333,0.019116588,-1.718589621
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0815,R2,1143333.333,0.028687415,-1.54230858
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0815,R3,610684.1333,0.014550881,-1.837110702
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812_15,R1,891184.3333,0.020385153,-1.690686018
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812_15,R2,841573.3333,0.020643033,-1.685226491
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812_15,R3,738765.6333,0.020070515,-1.697441481
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0815,R1,855959.6667,0.020800812,-1.681919708
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0815,R2,942266,0.023642428,-1.626307925
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0815,R3,1150184,0.027405642,-1.562160016
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812_15,R1,377789.7333,0.008641648,-2.06340341
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812_15,R2,632320.1,0.01551024,-1.809381469
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812_15,R3,16296.9,0.000442748,-3.353843165
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0815,R1,16251.2,0.000394923,-3.403487573
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0815,R2,17233.33333,0.000432402,-3.364112157
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0815,R3,13845.4,0.000329897,-3.481621831
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812_15,R1,16589.46667,0.000379471,-3.420821137
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812_15,R2,16426.8,0.000402935,-3.394765487
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812_15,R3,21729.2,0.000590331,-3.228904428
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0815,R1,133781.0667,0.003251035,-2.487978354
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0815,R2,17233.33333,0.000432402,-3.364112157
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0815,R3,18460.53333,0.000439862,-3.356683094
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812_15,R1,473868.7,0.010839381,-1.964995538
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812_15,R2,431087.7,0.010574192,-1.975752825
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812_15,R3,845803.3333,0.022978476,-1.638678773
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0815,R1,720182,0.017501257,-1.756930746
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0815,R2,504249.3333,0.012652137,-1.897836113
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0815,R3,727490,0.017334036,-1.76110031
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812_15,R1,330652.3667,0.007563418,-2.121281926
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812_15,R2,377839.7,0.009268066,-2.033010869
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812_15,R3,332062.3,0.009021347,-2.044728594
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0815,R1,257827.4667,0.006265506,-2.203043827
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0815,R2,344421.6667,0.008641896,-2.063390982
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0815,R3,302872.4667,0.007216597,-2.141667543
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812_15,R1,693573.7333,0.015864963,-1.799560924
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812_15,R2,630954.4,0.015476741,-1.810320483
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812_15,R3,229562.9,0.006236681,-2.205046463
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0815,R1,327968.2667,0.007970009,-2.098541184
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0815,R2,398813,0.01000663,-1.999712139
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0815,R3,354237.9333,0.008440491,-2.073632272
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812_15,R1,658826.7,0.015070152,-1.82188237
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812_15,R2,745799,0.018293775,-1.73769666
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812_15,R3,262376.2333,0.007128142,-2.147023672
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0815,R1,599760.8,0.014574883,-1.836394931
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0815,R2,839339.6667,0.0210599,-1.676543698
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0815,R3,768639.6667,0.018314516,-1.737204545
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0812_15,R1,497953.7,0.011390306,-1.943464597
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0812_15,R2,529071.7,0.012977651,-1.886803925
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0812_15,R3,203700.2667,0.005534055,-2.256956568
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0815,R1,443855.1333,0.010786194,-1.967131762
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0815,R2,425616,0.010679145,-1.9714635
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0815,R3,480789.8,0.011455866,-1.940972092
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0812_15,R1,264172.0667,0.006042732,-2.218766667
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0812_15,R2,201645.7333,0.004946188,-2.305729419
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0812_15,R3,260616.9333,0.007080346,-2.149945535
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0815,R1,268572.0667,0.006526613,-2.185312167
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0815,R2,189738,0.004760723,-2.322327127
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0815,R3,342023.1333,0.008149447,-2.088871857
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0812_15,R1,12442.1,0.000284603,-3.545759874
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0812_15,R2,206209.7333,0.005058138,-2.296009296
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0812_15,R3,482346.6333,0.013104217,-1.882588914
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0815,R1,437336.1333,0.010627775,-1.973557648
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0815,R2,394240,0.009891889,-2.00472076
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0815,R3,431992.3333,0.010293159,-1.987451299
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812_15,R1,1156211.333,0.026447441,-1.577616339
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812_15,R2,954702,0.023417977,-1.630450624
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812_15,R3,2163440.333,0.058775557,-1.230803243
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0815,R1,1357318.667,0.032984417,-1.481691187
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0815,R2,1414446.667,0.035489929,-1.449894869
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0815,R3,829312,0.019760167,-1.704209388
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812_15,R1,532808.6667,0.012187587,-1.914082281
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812_15,R2,642236.3333,0.015753477,-1.802623585
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812_15,R3,327594.9667,0.00889998,-2.050610945
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0815,R1,571179,0.013880312,-1.857600777
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0815,R2,602247,0.015111,-1.8207068
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0815,R3,686733.6667,0.016362927,-1.786138999
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812_15,R1,1094147.367,0.025027776,-1.601577742
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812_15,R2,388213.4,0.009522524,-2.021247935
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812_15,R3,380864.6,0.01034719,-1.985177557
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0815,R1,710869.6667,0.017274957,-1.762583026
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0815,R2,807863.3333,0.020270126,-1.693143549
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0815,R3,490851.8,0.011695615,-1.93197695
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812_15,R1,931628.0667,0.021310272,-1.671410997
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812_15,R2,16426.8,0.000402935,-3.394765487
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812_15,R3,210350.9,0.005714736,-2.243003791
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0815,R1,16251.2,0.000394923,-3.403487573
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0815,R2,17233.33333,0.000432402,-3.364112157
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0815,R3,18460.53333,0.000439862,-3.356683094
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0812_15,R1,1344370.033,0.030751426,-1.512134738
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0812_15,R2,1316470.033,0.03229182,-1.490907479
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0812_15,R3,1117620.967,0.030363119,-1.517653625
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0815,R1,1683865,0.040919872,-1.388065739
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0815,R2,1194139.333,0.02996219,-1.523426442
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0815,R3,1626547.667,0.038756045,-1.411660543
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0812_15,R1,1314147.367,0.030060106,-1.522009492
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0812_15,R2,4308213.4,0.10567658,-0.976021249
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0812_15,R3,4985432.3,0.135442405,-0.868245342
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0815,R1,5774062.8,0.14031642,-0.852891505
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0815,R2,8125794,0.203884571,-0.690615638
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0815,R3,6477948.467,0.15435125,-0.811489849
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0812_15,R1,1450308.333,0.033174683,-1.479193219
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0812_15,R2,1209114.667,0.02965849,-1.527850967
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0812_15,R3,1120863.3,0.030451205,-1.516395516
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0815,R1,1414062.8,0.034363365,-1.463904311
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0815,R2,1364308.333,0.034231906,-1.465568914
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0815,R3,1318396.333,0.031413668,-1.502881351
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0812_15,R1,3470000,0.07937357,-1.100324086
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0812_15,R2,3566666.667,0.087487109,-1.058055934
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0812_15,R3,3286666.667,0.089290961,-1.049192505
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0815,R1,4373333.333,0.10627707,-0.973560428
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0815,R2,4250000,0.106636893,-0.972092516
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0815,R3,4000000,0.095308724,-1.020867347
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0812_15,R1,736343.4,0.016843287,-1.773573163
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0812_15,R2,1591474.667,0.039037435,-1.408518727
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0812_15,R3,1296585,0.035225148,-1.453147172
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0815,R1,1500659.667,0.03646777,-1.438090798
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0815,R2,1607641.667,0.040337391,-1.394292192
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0815,R3,985914.6667,0.023491567,-1.629088011
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0812_15,R1,663413.3333,0.015175068,-1.818869365
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0812_15,R2,608242.3333,0.014919635,-1.826241813
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0812_15,R3,514741.2667,0.013984303,-1.854359179
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0815,R1,569290.1333,0.01383441,-1.859039352
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0815,R2,557251.6667,0.01398202,-1.85443007
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0815,R3,693533.2333,0.016524942,-1.781860061
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0812_15,R1,1501762.033,0.034351647,-1.464052441
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0812_15,R2,843233.7,0.02068376,-1.684370502
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0812_15,R3,1157642.633,0.031450413,-1.502373653
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0815,R1,1280211,0.031110611,-1.507091454
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0815,R2,1697570,0.042593786,-1.370653754
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0815,R3,1469395.333,0.035011548,-1.455788682
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0812_15,R1,100076666.7,2.289176455,0.35967927
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0812_15,R2,84093333.33,2.062733449,0.314443111
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0812_15,R3,58926666.67,1.600898175,0.204363709
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0815,R1,156463333.3,3.80224038,0.58003957
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0815,R2,157473333.3,3.951168718,0.596725575
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0815,R3,206000000,4.908399266,0.690939882
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0812_15,R1,5084147.367,0.116295944,-0.934435431
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0812_15,R2,5197440.033,0.127488506,-0.894528969
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0812_15,R3,4508765.633,0.122492499,-0.911890504
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0815,R1,7717396.133,0.187541672,-0.726902215
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0815,R2,9754308.333,0.244745679,-0.611284966
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0815,R3,6527948.467,0.155542609,-0.808150621
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0812_15,R1,12442.1,0.000284603,-3.545759874
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0812_15,R2,991488.6667,0.024320321,-1.614030702
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0812_15,R3,152595.6,0.004145662,-2.382406154
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0815,R1,12188.4,0.000296192,-3.52842631
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0815,R2,259792.6667,0.006518467,-2.185854558
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0815,R3,13845.4,0.000329897,-3.481621831
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0812_15,R1,1078490.733,0.024669643,-1.607837143
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0812_15,R2,1614880.067,0.039611548,-1.402178183
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0812_15,R3,2038363.3,0.05537751,-1.256666574
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0815,R1,1624416.133,0.039475195,-1.403675714
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0815,R2,1672933.5,0.041975631,-1.377002768
