Strain,Measurement Type,Time,Titer,Units
DBTL0.1_WA6_C6,CID:12988,48,137.1205,mg/L
DBTL0.1_WA6_C6,CID:12988,48,135.7108,mg/L
DBTL0.1_WD6_F6,CID:12988,48,127.8252,mg/L
DBTL0.1_WD6_F6,CID:12988,48,118.4307,mg/L
DBTL0.1_WD6_F6,CID:12988,48,101.7508,mg/L
DBTL0.1_WA7_C7,CID:12988,48,121.0867,mg/L
DBTL0.1_WA7_C7,CID:12988,48,115.6645,mg/L
DBTL0.1_WA7_C7,CID:12988,48,113.832,mg/L
DBTL0.1_WD7_F7,CID:12988,48,136.3715,mg/L
DBTL0.1_WD7_F7,CID:12988,48,124.2999,mg/L
DBTL0.1_WD7_F7,CID:12988,48,109.2058,mg/L
DBTL0.1_WA8_C8,CID:12988,48,142.7934,mg/L
DBTL0.1_WA8_C8,CID:12988,48,135.4252,mg/L
DBTL0.1_WA8_C8,CID:12988,48,150.8952,mg/L
DBTL0.1_WD8_F8,CID:12988,48,157.6069,mg/L
DBTL0.1_WD8_F8,CID:12988,48,153.5507,mg/L
DBTL0.1_WD8_F8,CID:12988,48,145.393,mg/L
DBTL0.2_WA1_C1,CID:12988,48,463.3013,mg/L
DBTL0.2_WA1_C1,CID:12988,48,403.9648,mg/L
DBTL0.2_WA1_C1,CID:12988,48,415.1433,mg/L
DBTL0.2_WD1_F1,CID:12988,48,115.5943,mg/L
DBTL0.2_WD1_F1,CID:12988,48,115.4851,mg/L
DBTL0.2_WD1_F1,CID:12988,48,120.5544,mg/L
DBTL0.2_WA2_C2,CID:12988,48,215.8781,mg/L
DBTL0.2_WA2_C2,CID:12988,48,184.7189,mg/L
DBTL0.2_WA2_C2,CID:12988,48,197.6345,mg/L
DBTL0.2_WD2_F2,CID:12988,48,172.1132,mg/L
DBTL0.2_WD2_F2,CID:12988,48,173.4731,mg/L
DBTL0.2_WD2_F2,CID:12988,48,174.9249,mg/L
DBTL0.2_WA3_C3,CID:12988,48,109.0222,mg/L
DBTL0.2_WA3_C3,CID:12988,48,115.1135,mg/L
DBTL0.2_WA3_C3,CID:12988,48,113.8485,mg/L
DBTL0.2_WD3_F3,CID:12988,48,152.4118,mg/L
DBTL0.2_WD3_F3,CID:12988,48,159.5279,mg/L
DBTL0.2_WD3_F3,CID:12988,48,175.7634,mg/L
DBTL0.2_WA4_C4,CID:12988,48,89.952,mg/L
DBTL0.2_WA4_C4,CID:12988,48,90.6742,mg/L
DBTL0.2_WA4_C4,CID:12988,48,101.9275,mg/L
DBTL0.2_WD4_F4,CID:12988,48,129.7269,mg/L
DBTL0.2_WD4_F4,CID:12988,48,114.3444,mg/L
DBTL0.2_WD4_F4,CID:12988,48,130.4487,mg/L
DBTL0.2_WA5_C5,CID:12988,48,110.8775,mg/L
DBTL0.2_WA5_C5,CID:12988,48,121.3534,mg/L
DBTL0.2_WA5_C5,CID:12988,48,117.6151,mg/L
DBTL0.2_WD5_F5,CID:12988,48,146.7845,mg/L
DBTL0.2_WD5_F5,CID:12988,48,156.4159,mg/L
DBTL0.2_WD5_F5,CID:12988,48,148.2242,mg/L
DBTL0.2_WA6_C6,CID:12988,48,133.4948,mg/L
DBTL0.2_WA6_C6,CID:12988,48,122.7683,mg/L
DBTL0.2_WA6_C6,CID:12988,48,135.7308,mg/L
DBTL0.2_WD6_F6,CID:12988,48,244.7503,mg/L
DBTL0.2_WD6_F6,CID:12988,48,245.3762,mg/L
DBTL0.2_WD6_F6,CID:12988,48,237.7874,mg/L
DBTL0.2_WA7_C7,CID:12988,48,145.4975,mg/L
DBTL0.2_WA7_C7,CID:12988,48,147.2591,mg/L
DBTL0.2_WA7_C7,CID:12988,48,144.7493,mg/L
DBTL0.2_WD7_F7,CID:12988,48,78.0623,mg/L
DBTL0.2_WD7_F7,CID:12988,48,74.2319,mg/L
DBTL0.2_WD7_F7,CID:12988,48,80.5295,mg/L
DBTL0.2_WA8_C8,CID:12988,48,133.5941,mg/L
DBTL0.2_WA8_C8,CID:12988,48,131.3882,mg/L
DBTL0.2_WA8_C8,CID:12988,48,127.2529,mg/L
DBTL0.2_WD8_F8,CID:12988,48,132.921,mg/L
DBTL0.2_WD8_F8,CID:12988,48,147.6487,mg/L
DBTL0.2_WD8_F8,CID:12988,48,144.4247,mg/L
