,Line Name,line_name_norep,to_keep_improved
81,PP_0751_PP_0812_PP_0815-R2,PP_0751_PP_0812_PP_0815,True
82,PP_0751_PP_0812_PP_4189-R2,PP_0751_PP_0812_PP_4189,True
85,PP_0812_PP_0814_PP_0815-R2,PP_0812_PP_0814_PP_0815,True
86,PP_0813_PP_0814_PP_0815-R2,PP_0813_PP_0814_PP_0815,True
87,Control_P2-R2,Control,True
88,PP_0368_PP_0815_PP_4189-R3,PP_0368_PP_0815_PP_4189,True
89,PP_0751_PP_0812_PP_0815-R3,PP_0751_PP_0812_PP_0815,True
90,PP_0751_PP_0812_PP_4189-R3,PP_0751_PP_0812_PP_4189,True
93,PP_0812_PP_0814_PP_0815-R3,PP_0812_PP_0814_PP_0815,True
94,PP_0813_PP_0814_PP_0815-R3,PP_0813_PP_0814_PP_0815,True
95,Control_P2-R3,Control,True
97,PP_0814_PP_0815_PP_2136-R1,PP_0814_PP_0815_PP_2136,True
98,PP_0437_PP_0751-R1,PP_0437_PP_0751,True
99,PP_0437_PP_0812-R1,PP_0437_PP_0812,True
100,PP_0437_PP_0813-R1,PP_0437_PP_0813,True
101,PP_0437_PP_0815-R1,PP_0437_PP_0815,True
102,PP_0528_PP_0751-R1,PP_0528_PP_0751,True
103,PP_0528_PP_0812-R1,PP_0528_PP_0812,True
105,PP_0814_PP_0815_PP_2136-R2,PP_0814_PP_0815_PP_2136,True
106,PP_0437_PP_0751-R2,PP_0437_PP_0751,True
107,PP_0437_PP_0812-R2,PP_0437_PP_0812,True
108,PP_0437_PP_0813-R2,PP_0437_PP_0813,True
109,PP_0437_PP_0815-R2,PP_0437_PP_0815,True
110,PP_0528_PP_0751-R2,PP_0528_PP_0751,True
111,PP_0528_PP_0812-R2,PP_0528_PP_0812,True
113,PP_0814_PP_0815_PP_2136-R3,PP_0814_PP_0815_PP_2136,True
114,PP_0437_PP_0751-R3,PP_0437_PP_0751,True
115,PP_0437_PP_0812-R3,PP_0437_PP_0812,True
116,PP_0437_PP_0813-R3,PP_0437_PP_0813,True
117,PP_0437_PP_0815-R3,PP_0437_PP_0815,True
118,PP_0528_PP_0751-R3,PP_0528_PP_0751,True
119,PP_0528_PP_0812-R3,PP_0528_PP_0812,True
120,PP_0528_PP_0813-R1,PP_0528_PP_0813,True
121,PP_0528_PP_1317-R1,PP_0528_PP_1317,True
122,PP_0751_PP_0812-R1,PP_0751_PP_0812,True
123,PP_0751_PP_1317-R1,PP_0751_PP_1317,True
125,PP_0751_PP_2136-R1,PP_0751_PP_2136,True
127,Control_P3-R1,Control,True
128,PP_0528_PP_0813-R2,PP_0528_PP_0813,True
129,PP_0528_PP_1317-R2,PP_0528_PP_1317,True
130,PP_0751_PP_0812-R2,PP_0751_PP_0812,True
131,PP_0751_PP_1317-R2,PP_0751_PP_1317,True
133,PP_0751_PP_2136-R2,PP_0751_PP_2136,True
135,Control_P3-R2,Control,True
136,PP_0528_PP_0813-R3,PP_0528_PP_0813,True
137,PP_0528_PP_1317-R3,PP_0528_PP_1317,True
138,PP_0751_PP_0812-R3,PP_0751_PP_0812,True
139,PP_0751_PP_1317-R3,PP_0751_PP_1317,True
141,PP_0751_PP_2136-R3,PP_0751_PP_2136,True
143,Control_P3-R3,Control,True
145,PP_0751_PP_4192-R1,PP_0751_PP_4192,True
146,PP_0812_PP_0813-R1,PP_0812_PP_0813,True
147,PP_0812_PP_2136-R1,PP_0812_PP_2136,True
149,PP_0813_PP_1317-R1,PP_0813_PP_1317,True
150,PP_0813_PP_2136-R1,PP_0813_PP_2136,True
151,PP_0815_PP_2136-R1,PP_0815_PP_2136,True
153,PP_0751_PP_4192-R2,PP_0751_PP_4192,True
154,PP_0812_PP_0813-R2,PP_0812_PP_0813,True
155,PP_0812_PP_2136-R2,PP_0812_PP_2136,True
157,PP_0813_PP_1317-R2,PP_0813_PP_1317,True
158,PP_0813_PP_2136-R2,PP_0813_PP_2136,True
159,PP_0815_PP_2136-R2,PP_0815_PP_2136,True
161,PP_0751_PP_4192-R3,PP_0751_PP_4192,True
162,PP_0812_PP_0813-R3,PP_0812_PP_0813,True
163,PP_0812_PP_2136-R3,PP_0812_PP_2136,True
165,PP_0813_PP_1317-R3,PP_0813_PP_1317,True
166,PP_0813_PP_2136-R3,PP_0813_PP_2136,True
167,PP_0815_PP_2136-R3,PP_0815_PP_2136,True
170,PP_0368_PP_0528_PP_0812-R1,PP_0368_PP_0528_PP_0812,True
173,Control_P4-R1,Control,True
176,PP_0368_PP_0528_PP_0812-R2,PP_0368_PP_0528_PP_0812,True
179,Control_P4-R2,Control,True
182,PP_0368_PP_0528_PP_0812-R3,PP_0368_PP_0528_PP_0812,True
185,Control_P4-R3,Control,True
