Organism,Protein,COG,Cat,Annotation
1890,2368,COG0065,E,Homoaconitase/3-isopropylmalate dehydratase large subunit
1896,2357,COG0066,E,3-isopropylmalate dehydratase small subunit
1677,1918,COG0067,E,Glutamate synthase domain 1
1796,2825,COG0069,E,Glutamate synthase domain 2
1682,1948,COG0070,E,Glutamate synthase domain 3
1878,4327,COG0071,O,"Small heat shock protein IbpA, HSP20 family"
2254,2264,COG0072,J,Phenylalanyl-tRNA synthetase beta subunit
2258,4229,COG0073,J,tRNA-binding EMAP/Myf domain
1796,2098,COG0074,C,"Succinyl-CoA synthetase, alpha subunit"
1305,1976,COG0075,E F,"Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG"
1029,1743,COG0076,E,Glutamate or tyrosine decarboxylase or a related PLP-dependent protein
1944,2038,COG0077,E,Prephenate dehydratase
2051,2400,COG0078,E,Ornithine carbamoyltransferase
2028,4210,COG0079,E,Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase
2279,2281,COG0080,J,Ribosomal protein L11
2267,2265,COG0081,J,Ribosomal protein L1
2070,2095,COG0082,E,Chorismate synthase
2184,3095,COG0084,N,3'->5' ssDNA/RNA exonuclease TatD
2256,2412,COG0085,K,"DNA-directed RNA polymerase, beta subunit/140 kD subunit"
2250,2521,COG0086,K,"DNA-directed RNA polymerase, beta' subunit/160 kD subunit"
2270,2265,COG0087,J,Ribosomal protein L3
2280,2269,COG0088,J,Ribosomal protein L4
2273,2259,COG0089,J,Ribosomal protein L23
2277,2274,COG0090,J,Ribosomal protein L2
2256,2229,COG0091,J,Ribosomal protein L22
2258,2236,COG0092,J,Ribosomal protein S3
2245,2186,COG0093,J,Ribosomal protein L14
2284,2276,COG0094,J,Ribosomal protein L5
980,1511,COG0095,H,Lipoate-protein ligase A
2285,2276,COG0096,J,Ribosomal protein S8
2283,2279,COG0097,J,Ribosomal protein L6P/L9E
2263,2249,COG0098,J,Ribosomal protein S5
2269,2282,COG0099,J,Ribosomal protein S13
2247,2194,COG0100,J,Ribosomal protein S11
2162,2379,COG0101,J,"tRNA U38,U39,U40 pseudouridine synthase TruA"
2270,2261,COG0102,J,Ribosomal protein L13
2275,2262,COG0103,J,Ribosomal protein S9
2117,2217,COG0104,F,Adenylosuccinate synthase
1996,2040,COG0105,F,Nucleoside diphosphate kinase
1905,1954,COG0106,E,Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase
1921,2097,COG0107,E,Imidazole glycerol phosphate synthase subunit HisF
1915,2165,COG0108,H,"3,4-dihydroxy-2-butanone 4-phosphate synthase"
1464,1584,COG0109,H I,Polyprenyltransferase (heme O synthase)
1669,4258,COG0110,R,"Acetyltransferase, isoleucine patch superfamily"
2036,5765,COG0111,H,Phosphoglycerate dehydrogenase or related dehydrogenase
2204,2580,COG0112,E,Glycine/serine hydroxymethyltransferase
1868,1915,COG0113,H,"Delta-aminolevulinic acid dehydratase, porphobilinogen synthase"
1497,1558,COG0114,C,Fumarate hydratase class II
2079,4990,COG0115,E H,Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
1246,1309,COG0116,J,23S rRNA G2445 N2-methylase RlmL or tRNA-G6 N2-methylase Trm14
1782,1835,COG0117,H,"Riboflavin biosynthesis protein RibD, pyrimidine deaminase domain"
1903,2037,COG0118,E,Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH
1983,5326,COG0119,E,Isopropylmalate/homocitrate/citramalate synthases
1177,1222,COG0120,G,Ribose 5-phosphate isomerase
674,821,COG0121,R,Predicted glutamine amidotransferase YafJ
1330,1835,COG0122,L,3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase
1379,2223,COG0123,Q,Acetoin utilization deacetylase AcuC or a related deacetylase
2264,2449,COG0124,J,Histidyl-tRNA synthetase
2041,2400,COG0125,F,Thymidylate kinase
2232,2301,COG0126,G,3-phosphoglycerate kinase
2180,2291,COG0127,F,"Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family"
2084,2172,COG0128,E,5-enolpyruvylshikimate-3-phosphate synthase
1889,3508,COG0129,G E,Dihydroxyacid dehydratase/phosphogluconate dehydratase
2210,2236,COG0130,J,"tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA"
1897,1904,COG0131,E,Imidazoleglycerol phosphate dehydratase HisB
1194,1297,COG0132,H,Dethiobiotin synthetase
1895,2143,COG0133,E,Tryptophan synthase beta chain
1881,1960,COG0134,E,Indole-3-glycerol phosphate synthase
1707,1841,COG0135,E,Phosphoribosylanthranilate isomerase
2124,2391,COG0136,E,Aspartate-semialdehyde dehydrogenase
1933,1975,COG0137,E,Argininosuccinate synthase
2025,2177,COG0138,F,AICAR transformylase/IMP cyclohydrolase PurH
1898,1954,COG0139,E,Phosphoribosyl-AMP cyclohydrolase
1744,1777,COG0140,E,Phosphoribosyl-ATP pyrophosphohydrolase
1890,2157,COG0141,E,Histidinol dehydrogenase
2196,4701,COG0142,H,Geranylgeranyl pyrophosphate synthase
2231,2388,COG0143,J,Methionyl-tRNA synthetase
1989,3034,COG0144,J,"16S rRNA C967/C1407 or tRNA-C34 C5-methylase, RsmB/RsmF/Trm4 family"
952,1914,COG0145,E Q,"N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit"
763,1411,COG0146,E Q,"N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit"
1952,3586,COG0147,E H,Anthranilate/para-aminobenzoate synthases component I
2218,2409,COG0148,G,Enolase
2243,2489,COG0149,G,Triosephosphate isomerase
2057,2067,COG0150,F,Phosphoribosylaminoimidazole (AIR) synthetase
2053,2142,COG0151,F,Phosphoribosylamine-glycine ligase
2069,2176,COG0152,F,Phosphoribosylaminoimidazole-succinocarboxamide synthase
2039,5760,COG0154,J,Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase
1329,1883,COG0155,P,"Sulfite reductase, beta subunit (hemoprotein)"
1676,3219,COG0156,H,7-keto-8-aminopelargonate synthetase or related enzyme
1716,1876,COG0157,H,Nicotinate-nucleotide pyrophosphorylase
889,973,COG0158,G,"Fructose-1,6-bisphosphatase"
1893,1962,COG0159,E,Tryptophan synthase alpha chain
1184,2353,COG0160,E,Acetylornithine aminotransferase/4-aminobutyrate aminotransferase/amino acid racemase
1440,2987,COG0161,H,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
2272,2360,COG0162,J,Tyrosyl-tRNA synthetase
1070,1164,COG0163,H,Flavin prenyltransferase UbiX
2155,2181,COG0164,L,Ribonuclease HII
1946,2131,COG0165,E,Argininosuccinate lyase
2134,2323,COG0166,G,Glucose-6-phosphate isomerase
2150,2935,COG0167,F,Dihydroorotate dehydrogenase
1649,2595,COG0168,P,"Trk-type K+ transport system, membrane component"
2090,2685,COG0169,E,Shikimate 5-dehydrogenase
2153,2421,COG0171,H,NH3-dependent NAD+ synthetase
2280,2388,COG0172,J,Seryl-tRNA synthetase
2032,2080,COG0173,J,Aspartyl-tRNA synthetase
1950,3902,COG0174,E,Glutamine synthetase
1566,3102,COG0175,E H,Phosphoadenylyl sulfate (PAPS) reductase/FAD synthetase or related enzyme
1857,2431,COG0176,G,Transaldolase/fructose-6-phosphate aldolase
2155,2571,COG0177,L,Endonuclease III
2142,3262,COG0178,L,Excinuclease UvrABC ATPase subunit
1726,4516,COG0179,Q,"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)"
2274,2479,COG0180,J,Tryptophanyl-tRNA synthetase
1881,1919,COG0181,H,Porphobilinogen deaminase
971,1021,COG0182,E,"5-methylthioribose/5-deoxyribulose 1-phosphate isomerase (methionine salvage pathway), a paralog of eIF-2B alpha subunit"
1713,8003,COG0183,I,Acetyl-CoA acetyltransferase
2275,2270,COG0184,J,Ribosomal protein S15P/S13E
2258,2206,COG0185,J,Ribosomal protein S19
2263,2252,COG0186,J,Ribosomal protein S17
2198,3734,COG0187,L,"DNA gyrase/topoisomerase IV, subunit B"
2195,3774,COG0188,L,"DNA gyrase/topoisomerase IV, subunit A"
1589,3446,COG0189,J E H Q,"Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily"
2155,2367,COG0190,H,"5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase"
1707,2542,COG0191,G,Fructose/tagatose bisphosphate aldolase
2039,2238,COG0192,H,S-adenosylmethionine synthetase
2060,2079,COG0193,J,Peptidyl-tRNA hydrolase
2026,2161,COG0194,F,Guanylate kinase
2251,2322,COG0195,K,"Transcription antitermination factor NusA, contains S1 and KH domains"
2006,2084,COG0196,H,FAD synthase
2272,2251,COG0197,J,Ribosomal protein L16/L10AE
2253,2251,COG0198,J,Ribosomal protein L24
2261,2402,COG0199,J,Ribosomal protein S14
2259,2258,COG0200,J,Ribosomal protein L15
2264,2306,COG0201,U,Preprotein translocase subunit SecY
2258,2368,COG0202,K,"DNA-directed RNA polymerase, alpha subunit/40 kD subunit"
2047,2031,COG0203,J,Ribosomal protein L17
2045,6642,COG0204,I,1-acyl-sn-glycerol-3-phosphate acyltransferase
2142,2650,COG0206,D,Cell division GTPase FtsZ
1492,1557,COG0207,F,Thymidylate synthase
1415,1670,COG0208,F,"Ribonucleotide reductase beta subunit, ferritin-like domain"
2047,2822,COG0209,F,Ribonucleotide reductase alpha subunit
2170,5169,COG0210,L,Superfamily I DNA or RNA helicase
2081,2125,COG0211,J,Ribosomal protein L27
1932,2076,COG0212,H,5-formyltetrahydrofolate cyclo-ligase
2251,2578,COG0215,J,Cysteinyl-tRNA synthetase
2087,2156,COG0216,J,Protein chain release factor RF1
2051,2219,COG0217,J K,Transcriptional and/or translational regulatory protein YebC/TACO1
1684,1720,COG0218,D,GTP-binding protein EngB required for normal cell division
1439,1500,COG0219,J,"tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain"
1765,1951,COG0220,J,tRNA G46 N7-methylase TrmB
1563,1691,COG0221,C,Inorganic pyrophosphatase
2086,2179,COG0222,J,Ribosomal protein L7/L12
2111,2893,COG0223,J,Methionyl-tRNA formyltransferase
1968,2154,COG0224,C,"FoF1-type ATP synthase, gamma subunit"
1919,2785,COG0225,O,Peptide methionine sulfoxide reductase MsrA
1905,3302,COG0226,P,"ABC-type phosphate transport system, periplasmic component"
2052,2094,COG0227,J,Ribosomal protein L28
2052,2047,COG0228,J,Ribosomal protein S16
1834,2400,COG0229,O,Peptide methionine sulfoxide reductase MsrB
1939,1843,COG0230,J,Ribosomal protein L34
2267,2526,COG0231,J,Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)
1488,1692,COG0232,F,dGTP triphosphohydrolase
2080,2084,COG0233,J,Ribosome recycling factor
2065,2555,COG0234,O,Co-chaperonin GroES (HSP10)
1584,3103,COG0235,G E,"5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage, sugar degradation)"
2027,6872,COG0236,I,Acyl carrier protein
2212,2273,COG0237,H,Dephospho-CoA kinase
2042,2006,COG0238,J,Ribosomal protein S18
1667,2244,COG0239,D P,"Fluoride ion exporter CrcB/FEX, affects chromosome condensation"
1947,2189,COG0240,C,Glycerol-3-phosphate dehydrogenase
1116,1430,COG0241,E,"Histidinol phosphatase/D-glycero-mannoheptose bisphosphatephosphatase, HAD superfamily"
2073,3194,COG0242,J,Peptide deformylase
1397,4457,COG0243,C,Anaerobic selenocysteine-containing dehydrogenase
2270,2262,COG0244,J,Ribosomal protein L10
1741,1745,COG0245,I,"2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
831,1466,COG0246,G,Mannitol-1-phosphate/altronate dehydrogenases
1701,4942,COG0247,C,"Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF"
1667,2480,COG0248,T F,Exopolyphosphatase/pppGpp-phosphohydrolase
1816,2536,COG0249,L,DNA mismatch repair ATPase MutS
2268,2839,COG0250,K,Transcription termination/antitermination protein NusG
2016,6301,COG0251,V,"Enamine deaminase RidA/Endoribonuclease Rid7C, YjgF/YER057c/UK114 family"
1376,1707,COG0252,J E,L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D
1915,2015,COG0253,E,Diaminopimelate epimerase
2080,2265,COG0254,J,Ribosomal protein L31
2188,2165,COG0255,J,Ribosomal protein L29
2278,2268,COG0256,J,Ribosomal protein L18
1813,1694,COG0257,J,Ribosomal protein L36
2252,2739,COG0258,L,5'-3' exonuclease Xni/ExoIX (flap endonuclease)
1182,1350,COG0259,H,Pyridoxine/pyridoxamine 5'-phosphate oxidase
1540,2232,COG0260,E,Leucyl aminopeptidase
2060,2051,COG0261,J,Ribosomal protein L21
1714,3789,COG0262,H,Dihydrofolate reductase
1729,1814,COG0263,E,Glutamate 5-kinase
2079,2097,COG0264,J,Translation elongation factor EF-Ts
2152,7401,COG0265,O,"Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain"
1637,2446,COG0266,L,Formamidopyrimidine-DNA glycosylase
2002,2217,COG0267,J,Ribosomal protein L33
2084,2075,COG0268,J,Ribosomal protein S20
1164,2268,COG0270,J L,"DNA-cytosine methylase or eukaryotic tRNA-C38 C5-methylase, Dcm/DNMT2/TRDMT1 family"
869,1153,COG0271,K T,"DNA-binding global transcriptional regulator BolA, affects cell shape, cell division and biofilm formation"
2102,2441,COG0272,L,NAD-dependent DNA ligase
2063,2274,COG0275,J,16S rRNA C1402 N4-methylase RsmH
1577,1682,COG0276,H,Protoheme ferro-lyase (ferrochelatase)
1848,7412,COG0277,C,FAD/FMN-containing lactate dehydrogenase/glycolate oxidase
957,1021,COG0278,O,Glutaredoxin-related protein
990,1317,COG0279,G,Phosphoheptose isomerase
1640,2817,COG0280,C,"Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase)"
1875,2668,COG0281,C,Malic enzyme
1989,2000,COG0283,F,Cytidylate kinase
2131,2197,COG0284,F,Orotidine-5'-phosphate decarboxylase
2079,2241,COG0285,H,Folylpolyglutamate synthase/Dihydropteroate synthase
1543,3537,COG0286,V,"Type I restriction-modification system, DNA methylase subunit"
1925,2015,COG0287,E,Prephenate dehydrogenase
1640,2530,COG0288,P,Carbonic anhydrase
2018,2104,COG0289,E,4-hydroxy-tetrahydrodipicolinate reductase
2053,2096,COG0290,J,Translation initiation factor IF-3
2032,2003,COG0291,J,Ribosomal protein L35
2080,2058,COG0292,J,Ribosomal protein L20
1024,1028,COG0293,J,23S rRNA U2552 or 16S rRNA-U1369 or eukaryotic tRNA-C32/G34 (ribose-2'-O)-methylase RlmE/FtsJ/TRM7
1998,2471,COG0294,H,Dihydropteroate synthase
1352,2419,COG0296,G,"1,4-alpha-glucan branching enzyme"
1219,1474,COG0297,G,Glycogen synthase
1934,1977,COG0299,F,Folate-dependent phosphoribosylglycinamide formyltransferase PurN
1884,9239,COG0300,R,Short-chain dehydrogenase
780,822,COG0301,J H,Adenylyl- and sulfurtransferase ThiI (thiamine and tRNA 4-thiouridine biosynthesis)
1514,1793,COG0302,H,GTP cyclohydrolase I
1701,3036,COG0303,H,Molybdopterin Mo-transferase (molybdopterin biosynthesis)
1971,4902,COG0304,I Q,3-oxoacyl-(acyl-carrier-protein) synthase
2083,2652,COG0305,L,Replicative DNA helicase
1469,2012,COG0306,P,Phosphate/sulfate permease
1866,1938,COG0307,H,Riboflavin synthase alpha chain
1512,3308,COG0308,E,"Aminopeptidase N, contains DUF3458 domain"
1209,3101,COG0312,V O,"Zn-dependent protease or N-deacetylase, PmbA/TldD/TldE family"
1977,2341,COG0313,J,16S rRNA C1402 (ribose-2'-O) methylase RsmI
1502,1541,COG0314,H,Molybdopterin synthase catalytic subunit MoaE
1666,1692,COG0315,H,Molybdenum cofactor biosynthesis enzyme MoaC
1681,3409,COG0316,O,Fe-S cluster assembly iron-binding protein IscA
1992,3169,COG0317,K T,"(p)ppGpp synthase/hydrolase, HD superfamily"
1894,12280,COG0318,I,O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)
2055,2058,COG0319,J,"ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme"
1711,1846,COG0320,H,Lipoate synthase
1469,1500,COG0321,H,Lipoate-protein ligase B
2133,2758,COG0322,L,"Excinuclease UvrABC, nuclease subunit"
1833,1997,COG0323,L,DNA mismatch repair ATPase MutL
2056,2150,COG0324,J,tRNA A37 N6-isopentenylltransferase MiaA
1942,2023,COG0325,H,"Pyridoxal 5'-phosphate homeostasis protein YggS, UPF0001 family"
1392,1627,COG0326,O,"Molecular chaperone, HSP90 family"
1569,1710,COG0327,H,"Putative GTP cyclohydrolase 1 type 2, NIF3 family"
1882,2267,COG0328,L,Ribonuclease HI
2114,5103,COG0329,M E,4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase
2050,5367,COG0330,O,"Regulator of protease activity HflC, stomatin/prohibitin superfamily"
1955,2368,COG0331,I,Malonyl CoA-acyl carrier protein transacylase
1926,3628,COG0332,I,3-oxoacyl-[acyl-carrier-protein] synthase III
1989,2003,COG0333,J,Ribosomal protein L32
1713,2914,COG0334,E,Glutamate dehydrogenase/leucine dehydrogenase
2066,2056,COG0335,J,Ribosomal protein L19
2050,2052,COG0336,J,tRNA G37 N-methylase TrmD
1923,2152,COG0337,E,3-dehydroquinate synthetase
1111,1415,COG0339,O,"Zn-dependent oligopeptidase, M3 family"
2119,2284,COG0340,H,Biotin-protein ligase
2035,2132,COG0341,U,Preprotein translocase subunit SecF
2042,2209,COG0342,U,Preprotein translocase subunit SecD
2039,2151,COG0343,J,Queuine/archaeosine tRNA-ribosyltransferase
1513,1770,COG0344,I,"Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase"
1957,2328,COG0345,E,Pyrroline-5-carboxylate reductase
1848,8523,COG0346,Q,"Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family"
1589,3120,COG0347,T E,Nitrogen regulatory protein PII
1238,2262,COG0348,C,Polyferredoxin NapH
1165,1524,COG0349,J,Ribonuclease D
2059,3018,COG0350,L,DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase)
1706,2044,COG0351,H,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
1732,2632,COG0352,H,Thiamine monophosphate synthase
2003,2004,COG0353,L,Recombinational DNA repair protein RecR
1161,1170,COG0354,O,"Folate-binding protein YgfZ, synthesis and repair of Fe-S clusters"
1967,2173,COG0355,C,"FoF1-type ATP synthase, epsilon subunit"
1967,2156,COG0356,C,"FoF1-type ATP synthase, membrane subunit a"
1948,1968,COG0357,J,16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B)
2260,3065,COG0358,L,DNA primase (bacterial type)
2060,2060,COG0359,J,Ribosomal protein L9
2085,2244,COG0360,J,Ribosomal protein S6
1546,2328,COG0363,G,6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase
1345,1720,COG0364,G,Glucose-6-phosphate 1-dehydrogenase
1747,4807,COG0365,I,Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase
1563,5843,COG0366,G,Glycosidase/amylase (phosphorylase)
1488,2988,COG0367,E,Asparagine synthetase B (glutamine-hydrolyzing)
1206,1230,COG0368,H,Cobalamin synthase CobS (adenosylcobinamide-GDP ribazoletransferase)
628,812,COG0369,F P,Flavoprotein (flavin reductase) subunit CysJ of sulfite and N-hydroxylaminopurine reductases
1863,3039,COG0372,C,Citrate synthase
1582,1663,COG0373,H,Glutamyl-tRNA reductase
917,1016,COG0376,P,Catalase (peroxidase I)
1384,1601,COG0377,C,NADH:ubiquinone oxidoreductase 20 kD subunit (chain B) or related Fe-S oxidoreductase
1129,1547,COG0378,O,"Hydrogenase/urease maturation factor HypB, Ni2+-binding GTPase"
1580,1617,COG0379,H,Quinolinate synthase
1352,1964,COG0381,M,UDP-N-acetylglucosamine 2-epimerase
1719,2871,COG0382,H,4-hydroxybenzoate polyprenyltransferase
1131,1547,COG0384,R,"Predicted epimerase YddE/YHI9, PhzF superfamily"
1073,1560,COG0385,R,Predicted Na+-dependent transporter YfeH
1133,1522,COG0386,V I,"Thioredoxin/glutathione peroxidase BtuE, reduces lipid peroxides"
2043,6339,COG0388,V,"Nitrilase/amidase YafV/Nit2, hydrolyzes deaminated glutathione"
1891,3632,COG0389,L,Nucleotidyltransferase/DNA polymerase DinP involved in DNA repair
901,1299,COG0392,M,"Predicted membrane flippase AglD2/YbhN, UPF0104 family"
881,1058,COG0393,S,"Uncharacterized pentameric protein YbjQ, UPF0145 family"
1923,4016,COG0394,T,Protein-tyrosine-phosphatase
1275,9875,COG0395,G,"ABC-type glycerol-3-phosphate transport system, permease component"
930,979,COG0397,O,Protein adenylyltransferase (AMPylase) SelO/YdiU (selenoprotein O)
1204,1714,COG0400,R,Predicted esterase
358,410,COG0401,C,"Membrane potential modulator PMP3/YqaE, plasma membrane proteolipid 3 (PMP3)/Esi3/RCI2/UPF0057 family"
1624,4467,COG0402,F R,Cytosine/adenosine deaminase or related metal-dependent hydrolase
1641,1720,COG0403,E,"Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain"
1707,3245,COG0404,E,Glycine cleavage system protein T (aminomethyltransferase)
1319,2521,COG0405,E,Gamma-glutamyltranspeptidase
1834,5437,COG0406,G,Broad specificity phosphatase PhoE
1705,2640,COG0407,H,Uroporphyrinogen-III decarboxylase HemE
959,977,COG0408,H,"Coproporphyrinogen-III oxidase HemH, oxygen-dependent"
1302,5351,COG0410,E,"ABC-type branched-chain amino acid transport system, ATPase component LivF"
1218,4729,COG0411,E,"ABC-type branched-chain amino acid transport system, ATPase component LivG"
1309,3135,COG0412,Q,Dienelactone hydrolase
1723,1832,COG0413,H,Ketopantoate hydroxymethyltransferase
1622,1653,COG0414,H,Panthothenate synthetase
1357,1912,COG0415,L,Deoxyribodipyrimidine photolyase
1563,1662,COG0416,I,Acyl-ACP:phosphate acyltransferase (fatty acid/phospholipid biosynthesis)
507,687,COG0417,L,DNA polymerase B elongation subunit
613,617,COG0418,F,Dihydroorotase
1469,2174,COG0419,L,DNA repair exonuclease SbcCD ATPase subunit
1562,2130,COG0420,L,DNA repair exonuclease SbcCD nuclease subunit
1427,2351,COG0421,E,Spermidine synthase (polyamine aminopropyltransferase)
1360,1482,COG0422,H,4-amino-2-methyl-5-hydroxymethylpyrimidine (HMP) synthase ThiC
1876,2583,COG0424,Q,"7-methyl-GTP pyrophosphatase and related NTP pyrophosphatases, Maf/HAM1 superfamily"
1436,2495,COG0425,J O H,"Sulfur carrier protein TusA (tRNA thiolation, molybdenum cofactor biosynthesis)"
753,1131,COG0427,C,Propionyl CoA:succinate CoA transferase
1174,1674,COG0428,P,Zinc transporter ZupT
635,679,COG0429,R,Predicted hydrolase of the alpha/beta-hydrolase fold
1428,3162,COG0431,C,NAD(P)H-dependent FMN reductase
1371,2265,COG0433,L,Crenarchaeal DNA import helicase CedB/HerA or a related bacterial ATPase
651,789,COG0435,C,Glutathionyl-hydroquinone reductase
2171,8558,COG0436,E,Aspartate/methionine/tyrosine aminotransferase
1230,3618,COG0437,C,Fe-S-cluster-containing dehydrogenase component (DMSO reductase)
2199,29347,COG0438,M,Glycosyltransferase involved in cell wall bisynthesis
1085,1579,COG0439,I,Biotin carboxylase
1790,1970,COG0440,E,"Acetolactate synthase, small subunit"
2259,2536,COG0441,J,Threonyl-tRNA synthetase
