orgId	locusId	sysName	geneName	desc	set8IT058 Adaptation in M9 media timecourse 1; day 2	set8IT059 Adaptation in M9 media timecourse 1; day 3	set8IT060 24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.	set8IT062 48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.	set8IT064 72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.	set8IT070 Adaptation in M9 media timecourse 2; day 3	set8IT073 48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.	set8IT080 Adaptation in M9 media timecourse 3; day 2	set8IT081 Adaptation in M9 media timecourse 3; day 3	"set8IT082 24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO."	"set8IT084 40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO."	"set8IT085 40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO."	set8IT089 Adaptation in M9 media timecourse 4; day 2	set8IT090 Adaptation in M9 media timecourse 4; day 3	set8IT092 24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.	set8IT093 48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.	set8IT094 48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.	set8IT095 72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.	set8IT096 72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.	set9IT020 24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay	set9IT022 48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay	set9IT025 72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v oleyl alcohol overlay
Putida	PP_0021	PP_0021		conserved hypothetical protein	0.027	0.011	-0.091	0.087	0.003	-0.034	-0.172	-0.051	-0.102	-0.017	-0.139	-0.053	-0.099	-0.234	-0.15	-0.125	-0.147	-0.232	-0.065	0.103	0.047	0.06
Putida	PP_0022	PP_0022		hypothetical protein	0.924	0.795	-0.026	-1.856	-0.078	-1.16	0.7	-0.433	-0.834	-0.432	-0.662	-0.787	0.085	-0.876	-0.977	0.2	-0.446	-0.799	-1.27	0.42	0.773	0.44
Putida	PP_0024	PP_0024		putative membrane-associated metal-dependent hydrolase	0.062	0.048	-0.001	0	-0.123	-0.061	-0.126	-0.075	-0.062	-0.113	-0.077	-0.032	0.02	0.041	0.108	0.04	-0.06	-0.085	-0.004	0.05	-0.092	-0.134
Putida	PP_0025	PP_0025		hypothetical protein	-0.095	0.5	0.283	0.103	0.52	0.051	0.674	0.16	0.106	-0.201	0.116	-0.119	0.13	-0.229	0.184	-1.223	-0.917	-0.045	0.268	-0.482	0.631	-1.478
Putida	PP_0026	PP_0026		putative cobalt/cadmium/zinc exporter	0.01	-0.001	-0.106	0.022	-0.031	-0.051	-0.183	0.09	0.037	0.127	0.082	0.084	0.058	0.106	0.069	0.025	-0.019	-0.206	-0.054	-0.211	-0.247	-0.186
Putida	PP_0027	PP_0027		conserved membrane protein of unknown function	-0.13	-0.051	-0.093	0.102	-0.019	-0.082	-0.027	-0.248	-0.297	-0.133	-0.038	-0.093	0.013	-0.068	0.042	-0.147	-0.116	-0.151	0.133	0.116	0.324	0.193
Putida	PP_0028	PP_0028		conserved hypothetical protein	0.184	0.048	-0.247	0.062	0.12	0.015	0.063	-0.192	0.056	-0.076	0.039	-0.182	-0.11	0.009	-0.045	0.084	-0.1	0.096	0.015	-0.076	-0.296	-0.201
Putida	PP_0029	PP_0029		two component heavy metal response regulator	-0.147	0.034	0.105	-0.121	-0.063	-0.093	-0.323	-0.154	-0.206	-0.17	-0.253	-0.27	-0.155	-0.182	0.012	-0.228	0.2	-0.055	-0.214	-0.206	-0.249	-0.222
Putida	PP_0030	PP_0030		metal-sensor histidine kinase	-0.013	-0.166	-0.158	-0.397	-0.048	-0.056	-0.099	-0.082	-0.004	-0.074	-0.127	-0.082	0.025	0.046	-0.053	-0.166	-0.112	0.114	-0.207	0.042	0.053	0.014
Putida	PP_0031	PP_0031		hypothetical protein	-0.18	0.052	0.026	-0.008	-0.107	0.251	-0.012	-0.049	0.116	0.161	0.002	0.191	0.144	0.225	-0.122	0.292	0.023	-0.145	-0.11	0.142	-0.235	-0.019
Putida	PP_0033	PP_0033		putative undecaprenyl-glycosyl transferase	0.014	0.075	-0.112	-0.139	-0.085	-0.048	0.046	-0.102	0.046	-0.106	-0.041	-0.096	-0.026	-0.074	-0.032	-0.085	-0.175	-0.152	-0.211	0.073	-0.021	-0.133
Putida	PP_0034	PP_0034		putative bactoprenol glycosyl-transferase from phage origin	0.02	-0.059	-0.053	-0.283	-0.014	-0.077	-0.207	-0.009	-0.119	0.166	-0.104	-0.029	0.1	-0.068	-0.251	0.139	-0.006	-0.069	-0.005	-0.089	-0.093	-0.204
Putida	PP_0035	PP_0035		putative bactoprenol-linked glycose transferase	-0.389	-0.169	0.525	0.028	0.707	0.406	1.002	-1.138	0.063	0.164	-0.413	0.286	0.468	0.201	0.259	0.134	-0.046	0.187	0.16	0.721	0.423	0.539
Putida	PP_0036	PP_0036		putative transcriptional regulator	-0.112	0.054	0.073	0.09	-0.033	0	-0.166	-0.251	-0.219	-0.071	-0.18	-0.158	0.163	0.093	0.078	-0.156	0.036	0.184	-0.285	-0.003	0.009	0.213
Putida	PP_0037	PP_0037		porin P	-0.029	-0.009	-0.044	-0.005	-0.112	0.074	0.003	-0.163	-0.151	-0.002	-0.144	0.124	-0.143	-0.051	-0.063	-0.149	-0.176	-0.087	-0.126	-0.007	0.038	-0.109
Putida	PP_0039	PP_0039		hypothetical protein	0.069	-0.016	-0.11	-0.004	-0.028	0.031	0.049	-0.006	-0.061	0.167	0.057	-0.072	-0.077	-0.137	-0.117	-0.044	-0.151	0.003	-0.048	-0.2	-0.168	0.024
Putida	PP_0040	PP_0040		hypothetical protein	-0.641	-0.249	-1.252	0.075	-0.24	-0.739	-0.176	-0.717	-0.386	0.065	0.262	-0.876	0.085	0.231	0.718	-0.693	0.208	0.133	0.297	1.227	-0.069	0.563
Putida	PP_0041	PP_0041		cadmium translocating P-type ATPase	-0.001	0.017	-0.193	-0.004	0.064	0.078	0.196	-0.003	0.044	0.031	-0.138	-0.256	0.016	-0.01	0.059	0.083	-0.208	-0.049	-0.152	0.137	-0.039	-0.046
Putida	PP_0042	PP_0042		conserved exported protein of unknown function	0.045	0.23	-0.033	-0.17	-0.106	-0.107	0.13	-0.026	-0.202	-0.114	-0.166	0.004	-0.206	-0.379	-0.554	-0.069	-0.827	-0.273	0.244	0.401	-0.119	-0.075
Putida	PP_0043	PP_0043		cation efflux system protein	-0.026	-0.016	0.107	-0.021	-0.129	0.043	0.15	0.003	-0.006	0.04	-0.058	-0.074	0.081	-0.03	0.037	-0.027	-0.031	0.037	0.001	0.045	0.064	0.144
Putida	PP_0044	PP_0044		cobalt-zinc-cadmium resistance protein	-0.159	-0.181	-0.014	-0.031	-0.332	-0.094	0.044	0.146	-0.072	-0.151	-0.271	0.144	0.054	0.211	-0.151	0.309	-0.006	0.051	-0.163	-0.203	0.114	-0.28
Putida	PP_0045	PP_0045		cobalt-zinc-cadmium resistance protein	-0.008	-0.046	-0.156	-0.191	-0.091	-0.013	-0.014	-0.153	-0.151	0.037	-0.216	-0.067	-0.07	-0.098	-0.255	0.199	-0.069	-0.22	-0.16	-0.122	-0.307	-0.324
Putida	PP_0046	PP_0046		tyrosine-specific outer membrane porin D	-0.14	0.03	-0.045	-0.244	0.021	-0.107	0.035	-0.163	-0.072	0.257	0.035	-0.067	-0.099	-0.109	-0.12	-0.058	0.012	-0.129	0.072	0.244	0.376	0.027
Putida	PP_0047	PP_0047		response regulator	0.243	-0.003	0.22	-0.069	-0.112	0.103	-0.154	-0.002	-0.101	-0.016	0.109	-0.216	0.032	-0.143	-0.354	-0.05	0.017	-0.066	-0.13	-0.075	-0.064	-0.189
Putida	PP_0048	PP_0048		conserved protein of unknown function	-0.815	-0.753	-1.457	-1.249	-1.035	-0.231	-0.141	-0.664	0.322	0.102	-0.061	-1.559	0.069	0.349	-0.263	0	0.205	-0.718	0.32	-0.096	-0.419	0.739
Putida	PP_0049	PP_0049		conserved protein of unknown function	-0.051	-0.018	-0.142	-0.211	0.029	-0.009	-0.116	-0.131	-0.119	-0.079	-0.135	-0.096	0.048	0.002	-0.054	-0.222	0.026	-0.052	-0.04	-0.018	-0.052	-0.132
Putida	PP_0050	PP_0050		conserved exported protein of unknown function	0.059	-0.096	-0.158	0.276	-0.002	0.101	0.132	-0.129	-0.047	-0.009	0.093	0.072	-0.281	-0.082	0.08	-0.141	-0.284	-0.173	-0.171	-0.154	0.07	0.325
Putida	PP_0051	PP_0051		putative sigma-54 dependent transcriptional regulator	-0.039	-0.023	-0.128	-0.328	-0.343	-0.252	-0.212	0.02	0.018	-0.351	-0.256	-0.177	0.011	-0.085	0.163	-0.218	-0.136	-0.247	0.014	-0.2	-0.069	-0.512
Putida	PP_0052	PP_0052		"beta-lactamase domain protein, putative hydrolase"	-0.035	-0.012	0.202	0.191	-0.037	-0.051	0.133	-0.134	-0.261	-0.257	-0.066	0.062	0.116	0.069	-0.058	0.154	-0.092	-0.174	-0.275	0.041	0.308	0.284
Putida	PP_0053	PP_0053		putative sulfide:quinone oxidoreductase	0.121	0.076	-0.096	-0.056	0.102	-0.119	-0.11	0.005	0.071	-0.07	-0.01	-0.018	0.062	-0.027	0.018	-0.018	-0.14	-0.023	0.096	0.082	0.166	0.098
Putida	PP_0054	PP_0054		conserved membrane protein of unknown function	-0.142	-0.087	-0.181	-0.63	0.015	-0.116	-0.044	0.043	-0.059	0.039	-0.295	-0.306	0.05	0.127	-0.055	0.05	-0.012	0.022	-0.097	0.5	0.242	0.352
Putida	PP_0055	PP_0055		transcriptional regulator	-0.053	-0.044	-0.3	0.009	-0.144	-0.043	-0.111	0.103	-0.136	-0.057	-0.115	-0.135	0.108	-0.163	-0.397	-0.27	-0.235	-0.028	-0.135	-0.345	-0.141	0.062
Putida	PP_0056	PP_0056		choline dehydrogenase	0.077	0.009	0.101	0.032	0.179	-0.164	-0.031	0.077	-0.016	0.107	-0.026	-0.054	0.002	0.113	-0.124	-0.119	-0.05	-0.019	-0.071	0.086	-0.017	0.204
Putida	PP_0057	PP_0057		major facilitator family transporter	-0.037	0.083	0.001	-0.086	0.058	0.01	-0.159	-0.17	-0.011	-0.19	-0.097	-0.262	-0.063	-0.004	-0.171	-0.018	-0.138	-0.166	-0.027	-0.111	-0.174	-0.295
Putida	PP_0058	PP_0058		putative 1-acyl-sn-glycerol-3-phosphate acyltransferase	0.453	0.645	0.29	0.333	0.311	0.539	0.263	0.308	0.528	0.26	0.514	0.497	0.371	0.394	0.096	0.091	0.061	0.103	0.076	-0.08	-0.072	-0.225
Putida	PP_0062	PP_0062		3-methyl-adenine DNA glycosylase I	0.086	0.287	0.242	-0.091	0.472	0.245	0.184	0.104	0.359	0.786	0.596	0.595	-0.08	-0.116	0.424	-0.013	0.21	0.007	0.124	-0.124	0.042	0.146
Putida	PP_0063	PP_0063		putative Lipid A biosynthesis lauroyl acyltransferase	-0.909	-1.169	1.171	0.719	1.132	0.441	2.028	0.674	0.097	1.811	1.569	1.082	-0.54	-0.586	1.025	1.194	0.748	1.258	0.659	1.327	1.124	2.39
Putida	PP_0064	PP_0064		conserved protein of unknown function	0.046	-0.122	-0.169	-0.254	0.156	0.209	0.165	-0.243	-0.04	-0.114	0.223	0.034	0.037	0.077	-0.3	-0.161	0.086	-0.388	0.334	-0.385	-0.959	-0.455
Putida	PP_0065	PP_0065		NAD-binding component of TrK potassium transporter	-0.341	-1.411	0.64	0.152	0.741	0.186	1.842	-0.311	-0.266	1.764	1.096	0.952	0.262	-0.168	0.969	0.732	0.552	1.446	0.151	0.019	-0.329	0.786
Putida	PP_0066	PP_0066		Ribosomal RNA small subunit methyltransferase B	-0.119	-0.23	-0.183	-0.006	-0.432	-0.102	0.418	0.168	0.01	-0.271	-0.086	0.268	-0.17	-0.154	-0.004	-0.791	-0.702	-0.583	-0.263	0.02	0.011	0.131
Putida	PP_0069	PP_0069		putative Rossmann fold nucleotide-binding protein	-0.141	-0.153	-0.194	-0.12	-0.107	0.104	-0.262	0.047	0.025	-0.1	-0.152	0.078	0.045	-0.11	-0.311	0.111	0.075	-0.24	-0.139	-0.166	-0.342	0.096
Putida	PP_0071	PP_0071		conserved protein of unknown function	-0.143	-0.008	0.221	-0.08	-0.136	0.044	0.011	0.305	0.172	-0.137	0.037	0.066	-0.002	0.023	-0.044	-0.17	-0.211	-0.289	-0.146	0.027	-0.278	-0.259
Putida	PP_0072	PP_0072		quinone oxidoreductase	0.03	0.133	0.046	0.055	0.03	0.015	-0.001	0.026	-0.158	-0.209	-0.084	-0.248	-0.01	0.079	0.018	0.096	0.057	-0.081	0.022	-0.173	0.01	0.011
Putida	PP_0075	PP_0075		putative choline sulfate transporter	-0.011	-0.073	-0.183	-0.136	0.2	0.085	0.076	-0.087	-0.118	-0.047	-0.007	0.174	0.054	-0.099	-0.147	0.041	-0.04	-0.211	-0.049	-0.159	-0.028	0.043
Putida	PP_0076	PP_0076		putative choline betaine-binding protein	-0.008	0.19	0.197	0.111	-0.049	-0.216	-0.081	-0.052	0.058	0.163	-0.331	-0.313	-0.192	0.016	-0.328	-0.242	-0.144	0.159	-0.084	-0.015	-0.248	-0.051
Putida	PP_0077	PP_0077		choline-sulfatase	0.079	-0.016	-0.092	-0.115	-0.066	-0.11	-0.212	-0.033	-0.131	-0.081	-0.258	-0.204	0.075	-0.035	-0.003	-0.244	-0.077	-0.102	-0.139	0.091	0.199	-0.104
Putida	PP_0079	PP_0079		putative transcriptional regulator	0.063	-0.253	-0.176	-0.238	0.128	-0.029	-0.195	-0.026	-0.168	-0.166	-0.223	-0.188	0.123	-0.132	0.21	0.051	-0.003	0.044	0.257	0.007	0.002	-0.124
Putida	PP_0080	PP_0080		conserved protein of unknown function	-0.017	0.19	0.22	-0.258	0.132	0.344	0.604	-0.149	-0.375	-0.09	-0.125	-0.79	0.172	-0.144	0.158	-0.555	0.057	0.257	-0.22	0.202	-0.136	0.315
Putida	PP_0081	PP_0081		conserved protein of unknown function	0.327	0.223	-0.208	0.096	0.24	0.009	-0.25	-0.077	0.12	-0.509	-0.077	-0.455	0.071	-0.292	-0.398	0.313	-0.028	-0.144	-0.356	0.137	-0.014	0.116
Putida	PP_0082	PP_0082		tryptophan synthase alpha chain	-1.544	-2.746	-1.085	-1.419	-1.001	-2.278	-0.084	-1.168	-2.421	-0.821	-1.821	-1.48	-1.846	-2.932	-1.172	-1.005	-1.432	-0.88	-1.426	1.497	1.261	2.731
Putida	PP_0083	PP_0083		tryptophan synthase beta chain	-1.833	-2.632	-1.09	-1.425	-1.133	-3.308	-0.576	-0.856	-2.515	-0.773	-1.783	-1.443	-2.036	-3.174	-1.269	-0.944	-1.603	-1.044	-1.724	1.497	1.261	2.731
Putida	PP_0084	PP_0084		HTH-type transcriptional regulator TrpI	0.032	-0.052	-0.277	-0.453	0.074	0.111	-0.314	-0.358	-0.069	0.27	-0.319	-0.27	-0.141	0.078	-0.124	0.179	0.01	-0.25	-0.133	0.275	-0.131	-0.114
Putida	PP_0085	PP_0085		conserved protein of unknown function	0.028	-0.04	-0.501	-0.198	-0.135	0.079	-0.195	-0.104	-0.335	-0.25	-0.418	-0.25	0.088	-0.023	0.195	-0.196	0.189	0.015	0.315	0.478	0.078	0.292
Putida	PP_0086	PP_0086		conserved protein of unknown function	-0.473	-0.452	0.28	0.582	0.555	-0.337	-0.098	-0.7	-0.066	-0.709	-0.333	-0.601	-0.061	-0.259	0.392	-0.078	0.008	-1.559	0.21	1.012	0.435	0.317
Putida	PP_0087	PP_0087		conserved exported protein of unknown function	0.122	0.389	0.323	-0.282	-0.364	-0.755	-0.394	-0.486	0.058	-0.017	-0.456	-0.161	0.27	0.089	0.017	0.742	0.584	0.204	0.734	-0.092	0.3	-0.246
Putida	PP_0088	PP_0088		putative alkanal monooxygenase	-0.059	0.244	-0.044	-0.418	0.096	-0.042	-0.097	-0.045	-0.174	0.021	-0.123	-0.006	0.256	0.118	0.238	0.07	0.376	0.353	0.233	0.245	0.178	0.373
Putida	PP_0089	PP_0089		"stress-induced peroxiredoxin, lipoyl-dependent peroxidase"	-0.135	-0.021	-0.514	-0.154	-0.713	0.285	-0.012	-0.307	0.069	0.231	-0.775	-0.383	0.093	-0.02	0.271	-0.326	0.007	0.157	0.252	0.53	0.239	0.586
Putida	PP_0090	PP_0090		conserved exported protein of unknown function	0.101	-0.258	-0.272	0.148	0.017	-0.074	-0.296	-0.118	0.233	0.267	0.01	0.372	-0.15	-0.014	0.641	0.03	-0.105	0.713	0.475	0.032	0.253	0.004
Putida	PP_0091	PP_0091		putative lipoprotein	0.012	0.186	-0.008	-0.254	-0.221	-0.014	0.397	-0.089	-0.122	0.022	-0.138	0.052	-0.053	0.143	-0.156	-0.074	-0.105	-0.215	-0.388	0.097	-0.025	-0.029
Putida	PP_0092	PP_0092		putative lipoprotein	-0.039	-0.125	-0.858	0.657	-0.234	0.011	-0.767	0.049	-0.29	0.134	0.052	-0.144	-0.213	-0.11	-0.207	-1.154	-0.13	0.143	-0.216	0.312	-0.149	-0.058
Putida	PP_0093	PP_0093		putative zinc protease protein	-0.007	0.026	0.111	-0.164	-0.087	-0.119	-0.008	-0.081	-0.059	0.024	-0.152	-0.162	0.127	0.057	-0.063	0.109	-0.091	-0.063	0.001	-0.101	-0.197	-0.125
Putida	PP_0094	PP_0094		5'-nucleotidase	0.224	-0.278	-0.017	0.638	0.471	0.194	0.453	-0.543	-0.463	-0.555	-0.232	-0.273	-0.756	-0.307	-0.444	-0.063	-0.14	-0.453	-0.277	-0.05	-0.05	-0.054
Putida	PP_0095	PP_0095		putative enzyme of unknown function	0.092	0.096	0.19	-0.205	-0.099	-0.033	0.159	0.048	0.069	-0.026	-0.016	-0.098	-0.366	-0.049	0.058	-0.2	-0.24	-0.163	-0.102	-0.309	-0.089	-0.119
Putida	PP_0096	PP_0096		oligopeptidase A	-0.053	0.131	0.319	0.222	0.2	-0.048	-0.022	-0.077	0.044	0.07	-0.077	0.001	-0.182	0.032	-0.015	-0.204	-0.113	-0.106	0.021	0.194	-0.033	0.238
Putida	PP_0099	PP_0099		conserved protein of unknown function	-0.176	-0.01	0.097	-0.1	0.003	-0.033	0.001	0.183	0.031	0.18	-0.044	0.039	0.084	0.232	0.189	0.175	0.031	0.143	0.226	0.235	0.22	0.228
Putida	PP_0101	PP_0101		putative sulfate transporter	0.061	0.183	0.449	0.051	-0.06	-0.084	0.141	-0.053	-0.1	0.153	-0.08	0.077	-0.02	-0.026	-0.241	0.274	0.121	0.045	0.09	-0.134	-0.267	0.165
Putida	PP_0103	PP_0103		cytochrome c oxidase subunit 2	0.108	-0.036	-0.153	0.015	-0.108	-0.125	0.063	-0.086	-0.101	-0.344	-0.11	-0.036	-0.366	-0.039	-0.111	-0.213	-0.239	-0.181	-0.122	0.381	0.178	0.039
Putida	PP_0104	PP_0104		Cytochrome c oxidase subunit 1	0.046	0.159	-0.058	-0.027	0.028	-0.173	-0.124	0.001	-0.129	-0.064	0.019	0.035	0.022	0.04	-0.078	-0.087	-0.121	-0.091	0.015	0.064	-0.041	-0.144
Putida	PP_0105	PP_0105		Cytochrome C oxidase assembly protein	0.173	0.346	0.347	-0.02	-0.058	-0.234	-0.216	0.201	0.085	-0.089	0.075	0	0.179	0.069	0.143	-0.081	0.185	0.581	-0.004	0.251	0.018	0.117
Putida	PP_0106	PP_0106		cytochrome c oxidase subunit 3	0.14	-0.146	-0.103	-0.096	-0.065	-0.093	-0.039	0.117	-0.017	-0.034	-0.144	0.002	0.106	-0.133	-0.173	-0.007	-0.154	-0.349	-0.132	-0.161	0.016	-0.299
Putida	PP_0107	PP_0107		conserved protein of unknown function	0.131	0.089	0.02	-0.261	-0.039	-0.256	0.057	0.076	-0.108	-0.286	-0.175	-0.097	-0.1	-0.068	-0.212	-0.313	-0.295	0.017	-0.324	0.118	0.068	0.01
Putida	PP_0108	PP_0108		conserved protein of unknown function	-0.157	0.065	0.187	0.428	0.106	0.146	-0.331	0.152	0.063	-0.004	-0.086	0.578	-0.037	0.161	-0.231	0.002	-0.229	-0.008	-0.045	-0.057	-0.291	-0.283
Putida	PP_0109	PP_0109		conserved membrane protein of unknown function	0.152	-0.007	-0.191	0.089	-0.364	-0.002	0.46	0.143	0.033	-0.286	0.305	0.469	0.15	0.061	0.01	0.161	0.132	0.364	0.269	-0.213	-0.038	0.442
Putida	PP_0110	PP_0110		CyoE like protoheme IX farnesyltransferase	-0.048	-0.006	-0.526	-0.071	0.051	0.078	0.003	0.134	-0.048	-0.03	-0.344	-0.17	-0.197	0.003	-0.042	0.237	-0.235	-0.157	0.094	-0.171	-0.033	-0.165
Putida	PP_0111	PP_0111		Electron transport protein SCO1/SenC	-0.836	-1.303	-1.571	-1.088	-1.368	-0.75	-0.322	-1.112	-1.535	-0.692	-1.664	-1.061	-0.231	-0.533	-0.457	-0.161	-0.765	-0.562	-0.383	0.724	0.772	1.394
Putida	PP_0112	PP_0112		"methionine ABC transporter, periplasmic binding protein"	0.188	0.109	-0.424	-0.248	-0.133	-0.046	0.04	-0.094	-0.108	-0.091	-0.118	0.176	-0.075	0	-0.22	0.043	-0.003	-0.019	-0.048	-0.177	-0.171	0.148
Putida	PP_0113	PP_0113		"methionine ABC transporter, permease protein"	-0.034	-0.09	-0.041	-0.129	0.329	-0.245	0.242	0.061	0.001	0.214	0.033	-0.009	-0.355	-0.019	0.113	-0.042	-0.108	-0.357	-0.37	-0.202	0.285	0.361
Putida	PP_0114	PP_0114		methionine ABC transporter ATP-binding protein	-0.011	0.056	0.443	0.054	0.384	-0.151	0.339	0.02	0.495	0.238	0.109	0.325	-0.127	0.139	-0.307	0.048	-0.213	-0.441	-0.097	0.536	0.49	0.423
