Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Counts_sum
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,Control,R1,98447
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,Control,R2,66199.74
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,Control,R3,85278.3
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,Control,R1,744544.4
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,Control,R2,804430.82
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,Control,R3,851470.1
A0A140FW30,A0A140FW30_PSEPK,Pp_5477,Uncharacterized protein,Control,R1,57818
A0A140FW30,A0A140FW30_PSEPK,Pp_5477,Uncharacterized protein,Control,R2,1013.04
A0A140FW30,A0A140FW30_PSEPK,Pp_5477,Uncharacterized protein,Control,R3,41965.8
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,Control,R1,77249.7
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,Control,R2,146609.88
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,Control,R3,78301.5
A0A140FW37,A0A140FW37_PSEPK,Pp_5483,DUF4145 domain-containing protein,Control,R1,33520.2
A0A140FW37,A0A140FW37_PSEPK,Pp_5483,DUF4145 domain-containing protein,Control,R2,2026.08
A0A140FW37,A0A140FW37_PSEPK,Pp_5483,DUF4145 domain-containing protein,Control,R3,0
A0A140FW41,A0A140FW41_PSEPK,Pp_5487,Uncharacterized protein,Control,R1,67504.7
A0A140FW41,A0A140FW41_PSEPK,Pp_5487,Uncharacterized protein,Control,R2,90496.6
A0A140FW41,A0A140FW41_PSEPK,Pp_5487,Uncharacterized protein,Control,R3,61443.1
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,Control,R1,85209.6
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,Control,R2,430851.3
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,Control,R3,536612.1
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,Control,R1,46070.4
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,Control,R2,31647.28
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,Control,R3,38864.7
A0A140FW50,A0A140FW50_PSEPK,Pp_5495,Uncharacterized protein,Control,R1,8460.17
A0A140FW50,A0A140FW50_PSEPK,Pp_5495,Uncharacterized protein,Control,R2,1013.04
A0A140FW50,A0A140FW50_PSEPK,Pp_5495,Uncharacterized protein,Control,R3,0
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,Control,R1,452287.7
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,Control,R2,518887.64
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,Control,R3,531801.8
A0A140FW71,A0A140FW71_PSEPK,Pp_5516,Uncharacterized protein,Control,R1,11380.6
A0A140FW71,A0A140FW71_PSEPK,Pp_5516,Uncharacterized protein,Control,R2,2026.08
A0A140FW71,A0A140FW71_PSEPK,Pp_5516,Uncharacterized protein,Control,R3,0
A0A140FW79,A0A140FW79_PSEPK,Pp_5525,Secreted protein,Control,R1,90789.7
A0A140FW79,A0A140FW79_PSEPK,Pp_5525,Secreted protein,Control,R2,77572
A0A140FW79,A0A140FW79_PSEPK,Pp_5525,Secreted protein,Control,R3,102319
A0A140FW85,A0A140FW85_PSEPK,Pp_5531,DUF1993 domain-containing protein,Control,R1,32153.1
A0A140FW85,A0A140FW85_PSEPK,Pp_5531,DUF1993 domain-containing protein,Control,R2,2026.08
A0A140FW85,A0A140FW85_PSEPK,Pp_5531,DUF1993 domain-containing protein,Control,R3,0
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",Control,R1,0
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",Control,R2,6078.24
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",Control,R3,38324.3
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,Control,R1,127482
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,Control,R2,130305.64
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,Control,R3,57546.4
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,Control,R1,188089.3
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,Control,R2,153325.14
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,Control,R3,171446.2
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,Control,R1,144236.03
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,Control,R2,156367.46
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,Control,R3,168100.4
A0A140FWH0,A0A140FWH0_PSEPK,Pp_5618,Cro/CI transcriptional regulator,Control,R1,0
A0A140FWH0,A0A140FWH0_PSEPK,Pp_5618,Cro/CI transcriptional regulator,Control,R2,1013.04
A0A140FWH0,A0A140FWH0_PSEPK,Pp_5618,Cro/CI transcriptional regulator,Control,R3,13698.7
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,Control,R1,48641.9
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,Control,R2,3039.12
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,Control,R3,0
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,Control,R1,113141.09
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,Control,R2,85931.68
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,Control,R3,50222.3
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,Control,R1,146063.3
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,Control,R2,34040.54
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,Control,R3,105671.3
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,Control,R1,0
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,Control,R2,3039.12
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,Control,R3,0
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,Control,R1,92175.7
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,Control,R2,103140
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,Control,R3,125147
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,Control,R1,96514.8
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,Control,R2,1013.04
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,Control,R3,0
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,Control,R1,439852
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,Control,R2,431746.64
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,Control,R3,488623.7
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,Control,R1,668123.6
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,Control,R2,512582.3
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,Control,R3,566812.2
A0A140FWM4,A0A140FWM4_PSEPK,Ccmh,Cytochrome c-type biogenesis protein,Control,R1,23954.4
A0A140FWM4,A0A140FWM4_PSEPK,Ccmh,Cytochrome c-type biogenesis protein,Control,R2,26986.9
A0A140FWM4,A0A140FWM4_PSEPK,Ccmh,Cytochrome c-type biogenesis protein,Control,R3,21552
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,Control,R1,662409.56
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,Control,R2,690899.12
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,Control,R3,591103.5
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,Control,R1,593326.03
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,Control,R2,490428.22
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,Control,R3,458955.7
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,Control,R1,896516.1
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,Control,R2,766598.28
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,Control,R3,954397.9
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,Control,R1,398442.2
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,Control,R2,402755.92
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,Control,R3,370788
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,Control,R1,531457
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,Control,R2,405654.6
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,Control,R3,477967
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,Control,R1,4917241.5
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,Control,R2,4620427.12
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,Control,R3,4718617.62
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,Control,R1,303778.9
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,Control,R2,278990.26
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,Control,R3,406783
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,Control,R1,232586.3
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,Control,R2,191825.92
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,Control,R3,199250.6
A0A140FWS6,A0A140FWS6_PSEPK,Pp_5721,TIGR02449 family protein,Control,R1,55631.4
A0A140FWS6,A0A140FWS6_PSEPK,Pp_5721,TIGR02449 family protein,Control,R2,49595.14
A0A140FWS6,A0A140FWS6_PSEPK,Pp_5721,TIGR02449 family protein,Control,R3,54699.1
A0A140FWS9,A0A140FWS9_PSEPK,Pp_5724,Gamma-glutamylcyclotransferase AIG2-like domain-containing protein,Control,R1,62887.7
A0A140FWS9,A0A140FWS9_PSEPK,Pp_5724,Gamma-glutamylcyclotransferase AIG2-like domain-containing protein,Control,R2,39844.7
A0A140FWS9,A0A140FWS9_PSEPK,Pp_5724,Gamma-glutamylcyclotransferase AIG2-like domain-containing protein,Control,R3,55281.1
A0A140FWT6,A0A140FWT6_PSEPK,Pp_5732,Metal-binding protein,Control,R1,0
A0A140FWT6,A0A140FWT6_PSEPK,Pp_5732,Metal-binding protein,Control,R2,2026.08
A0A140FWT6,A0A140FWT6_PSEPK,Pp_5732,Metal-binding protein,Control,R3,0
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,Control,R1,852242.1
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,Control,R2,603889.88
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,Control,R3,711286.3
O77727,K1C15_SHEEP,Krt15,"Keratin, type I cytoskeletal 15",Control,R1,0
O77727,K1C15_SHEEP,Krt15,"Keratin, type I cytoskeletal 15",Control,R2,2026.08
O77727,K1C15_SHEEP,Krt15,"Keratin, type I cytoskeletal 15",Control,R3,0
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,Control,R1,127365159
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,Control,R2,122328734.4
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,Control,R3,120406016.6
P00761,TRYP_PIG,Tryp_pig,Trypsin,Control,R1,6132936
P00761,TRYP_PIG,Tryp_pig,Trypsin,Control,R2,9505247.74
P00761,TRYP_PIG,Tryp_pig,Trypsin,Control,R3,8540000
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",Control,R1,24591
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",Control,R2,2451162.56
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",Control,R3,795010.8
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,Control,R1,348316.4
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,Control,R2,402273.72
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,Control,R3,232023.9
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,Control,R1,536373.1
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,Control,R2,1581113.96
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,Control,R3,475245.4
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,Control,R1,3100531.9
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,Control,R2,3068473.02
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,Control,R3,2975038.7
P0A122,FER1_PSEPK,Fdxa,Ferredoxin 1,Control,R1,116192
P0A122,FER1_PSEPK,Fdxa,Ferredoxin 1,Control,R2,2026.08
P0A122,FER1_PSEPK,Fdxa,Ferredoxin 1,Control,R3,0
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,Control,R1,311751.6
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,Control,R2,261409.94
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,Control,R3,290949.5
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,Control,R1,653978.4
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,Control,R2,392690.74
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,Control,R3,715192.8
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,Control,R1,0
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,Control,R2,2026.08
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,Control,R3,0
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,Control,R1,131304.5
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,Control,R2,192878.63
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,Control,R3,217970.4
P0A136,KAD_PSEPK,Adk,Adenylate kinase,Control,R1,3964966.2
P0A136,KAD_PSEPK,Adk,Adenylate kinase,Control,R2,4125110.78
P0A136,KAD_PSEPK,Adk,Adenylate kinase,Control,R3,3618214.2
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,Control,R1,9835722.4
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,Control,R2,8453181.78
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,Control,R3,10060912.5
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,Control,R1,1343129
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,Control,R2,1352365.22
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,Control,R3,1258497.8
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,Control,R1,2267417.1
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,Control,R2,2551496.96
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,Control,R3,2244132.3
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,Control,R1,277287.7
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,Control,R2,242493.94
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,Control,R3,238909.5
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,Control,R1,679242.3
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,Control,R2,526910.04
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,Control,R3,480764.5
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,Control,R1,33835727.6
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,Control,R2,30028290.08
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,Control,R3,36429108.9
P0A161,RL34_PSEPK,Rpmh,Large ribosomal subunit protein bL34,Control,R1,756821
P0A161,RL34_PSEPK,Rpmh,Large ribosomal subunit protein bL34,Control,R2,813615.04
P0A161,RL34_PSEPK,Rpmh,Large ribosomal subunit protein bL34,Control,R3,799097
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,Control,R1,3799276
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,Control,R2,4209624
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,Control,R3,3935873
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,Control,R1,939803.9
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,Control,R2,902283.4
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,Control,R3,924156.4
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,Control,R1,3056849
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,Control,R2,2920951.82
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,Control,R3,2609463.8
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,Control,R1,71547.8
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,Control,R2,155326.26
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,Control,R3,25727.7
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,Control,R1,43686098.4
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,Control,R2,43885802.52
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,Control,R3,48611556.1
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",Control,R1,0
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",Control,R2,1418551.28
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",Control,R3,257089.3
P15252,REF_HEVBR,Ref_hevbr,Rubber elongation factor protein,Control,R1,0
P15252,REF_HEVBR,Ref_hevbr,Rubber elongation factor protein,Control,R2,2026.08
P15252,REF_HEVBR,Ref_hevbr,Rubber elongation factor protein,Control,R3,0
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,Control,R1,121596270.3
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,Control,R2,120451791.5
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,Control,R3,124352875.4
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",Control,R1,0
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",Control,R2,40755.24
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",Control,R3,26056.9
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",Control,R1,0
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",Control,R2,116890.88
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",Control,R3,104739.9
P59285,ALLA_PSEPK,Alla,Ureidoglycolate lyase,Control,R1,131073.9
P59285,ALLA_PSEPK,Alla,Ureidoglycolate lyase,Control,R2,124841.54
P59285,ALLA_PSEPK,Alla,Ureidoglycolate lyase,Control,R3,172116.4
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,Control,R1,1773481.9
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,Control,R2,2272652
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,Control,R3,1908190.9
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,Control,R1,205190.2
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,Control,R2,200635.2
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,Control,R3,78460.2
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,Control,R1,3166932.3
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,Control,R2,1956500.38
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,Control,R3,3012210.3
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,Control,R1,1078449.9
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,Control,R2,1217326.74
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,Control,R3,1193619.4
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,Control,R1,6419141.2
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,Control,R2,6472711.96
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,Control,R3,6358327.1
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",Control,R1,45998.3
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",Control,R2,3039.12
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",Control,R3,71078.2
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,Control,R1,2094972.7
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,Control,R2,1977118.4
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,Control,R3,1997397.53
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,Control,R1,811160.1
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,Control,R2,747574.52
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,Control,R3,919126.8
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,Control,R1,8837459.4
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,Control,R2,8985897.86
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,Control,R3,8784675.8
P59612,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,Control,R1,529137.2
P59612,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,Control,R2,545710.1
P59612,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,Control,R3,545606.6
P59618,ARLY_PSEPK,Argh,Argininosuccinate lyase,Control,R1,2908183.8
P59618,ARLY_PSEPK,Argh,Argininosuccinate lyase,Control,R2,2794065.58
