Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0815,R2,973426,0.02010015,-1.69680071
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0815,R3,859340.6667,0.018236601,-1.739056115
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812_15,R1,45891.9,0.000993347,-3.002898999
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812_15,R2,1477323.6,0.031717478,-1.498701349
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812_15,R3,981228.7333,0.021274556,-1.672139504
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0815,R1,1467478.333,0.029356385,-1.532297424
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0815,R2,1085902.333,0.022422659,-1.649312886
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0815,R3,1045074.333,0.02217817,-1.654074298
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812_15,R1,186002.2,0.004026086,-2.395116957
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812_15,R2,198082.7333,0.004252748,-2.371330365
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812_15,R3,15790.8,0.000342369,-3.465505628
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0815,R1,556127,0.011125124,-1.953695142
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0815,R2,934894.7333,0.019304522,-1.714340939
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0815,R3,1697941.4,0.036033066,-1.443298782
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812_15,R1,240154.1333,0.005198224,-2.284144972
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812_15,R2,575581.4667,0.012357477,-1.908070184
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812_15,R3,765398.0333,0.016595012,-1.780022419
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0815,R1,434362.8333,0.008689275,-2.061016465
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0815,R2,974833.6667,0.020129216,-1.696173133
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0815,R3,788126.3333,0.016725317,-1.776625641
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812_15,R1,148610.1333,0.003216721,-2.492586614
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812_15,R2,234895.8,0.005043108,-2.297301734
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812_15,R3,334527.9333,0.007253083,-2.139477373
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0815,R1,368698.6667,0.007375686,-2.132197555
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0815,R2,498115.3333,0.01028552,-1.987773742
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0815,R3,498766.6667,0.010584636,-1.975324058
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812_15,R1,535574.8,0.011592713,-1.935814903
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812_15,R2,466378.6,0.01001294,-1.999438371
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812_15,R3,351843.1,0.007628502,-2.117560722
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0815,R1,634199.8333,0.012686943,-1.896642999
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0815,R2,621763.4,0.012838713,-1.891478499
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0815,R3,870693.5333,0.018477527,-1.73335616
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812_15,R1,19142.93333,0.000414356,-3.382626551
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812_15,R2,369318.7333,0.007929108,-2.100775648
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812_15,R3,15790.8,0.000342369,-3.465505628
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0815,R1,238151.6667,0.00476414,-2.322015497
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0815,R2,682260.6667,0.014087914,-1.851153318
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0815,R3,557879.8333,0.011839113,-1.926680817
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0812_15,R1,367425.7333,0.007953065,-2.099465468
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0812_15,R2,406751.8,0.00873278,-2.058847502
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0812_15,R3,432386.7,0.009374812,-2.028037434
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0815,R1,643147.1667,0.012865932,-1.890558761
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0815,R2,745518.7333,0.015394121,-1.812645091
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0815,R3,773638.8667,0.01641787,-1.784683199
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0812_15,R1,330749.4,0.007159192,-2.145135973
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0812_15,R2,334328.6,0.007177886,-2.144003455
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0812_15,R3,226528.4,0.004911486,-2.308787103
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0815,R1,326090.8333,0.006523332,-2.185530532
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0815,R2,372098.7333,0.007683419,-2.114445461
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0815,R3,450745.2,0.009565543,-2.019290369
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0812_15,R1,14357.2,0.000310767,-3.507565287
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0812_15,R2,254657.1333,0.005467375,-2.262221139
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0812_15,R3,11843.1,0.000256777,-3.590444364
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0815,R1,171059.6667,0.003421988,-2.465721501
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0815,R2,176960.1333,0.003654027,-2.437228215
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0815,R3,262215.2,0.005564631,-2.254563616
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812_15,R1,1886968.667,0.04084413,-1.388870349
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812_15,R2,1077899,0.02314201,-1.635598916
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812_15,R3,1060559.667,0.022994573,-1.638374654
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0815,R1,1224804.667,0.024501784,-1.61080229
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0815,R2,1479127.333,0.030542312,-1.51509809
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0815,R3,1734341,0.036805525,-1.434086988
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812_15,R1,781974.6667,0.016926129,-1.771442354
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812_15,R2,827121,0.017757919,-1.750607938
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812_15,R3,730460,0.015837502,-1.800313322
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0815,R1,723896.3333,0.01448129,-1.839192745
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0815,R2,738521,0.015249626,-1.816740803
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0815,R3,472319.6667,0.010023388,-1.99898545
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812_15,R1,1085635.333,0.023498976,-1.628951068
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812_15,R2,774362.1333,0.016625209,-1.779232877
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812_15,R3,1039410,0.022536015,-1.64712287
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0815,R1,1004122.667,0.020087119,-1.697082351
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0815,R2,1066837.333,0.022028988,-1.657005447
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0815,R3,914657.3333,0.01941051,-1.711963059
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812_15,R1,19142.93333,0.000414356,-3.382626551
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812_15,R2,125636.0667,0.00269735,-2.569062654
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812_15,R3,224317.4333,0.004863549,-2.313046734
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0815,R1,492481.8333,0.009851925,-2.006478907
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0815,R2,343307.4667,0.007088912,-2.149420403
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0815,R3,233756.4,0.004960689,-2.304457969
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0812_15,R1,1352143,0.029267632,-1.533612413
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0812_15,R2,1219451.8,0.026181086,-1.582012346
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0812_15,R3,1191245.7,0.025828048,-1.587908415
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0815,R1,1240072.667,0.024807215,-1.605421987
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0815,R2,1571029.667,0.032439992,-1.488919266
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0815,R3,2224075,0.047198473,-1.326072051
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0812_15,R1,6812569.667,0.147460574,-0.831324081
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0812_15,R2,6628661.8,0.14231441,-0.846751124
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0812_15,R3,711228.7333,0.015420538,-1.811900467
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0815,R1,6205405.833,0.124136949,-0.906098933
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0815,R2,1000457.733,0.020658324,-1.684904907
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0815,R3,5141030.4,0.10910099,-0.962171307
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0812_15,R1,1045791.067,0.022636532,-1.64519011
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0812_15,R2,1139157.8,0.024457209,-1.611593097
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0812_15,R3,887895.4,0.019250945,-1.715547955
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0815,R1,996223.1667,0.019929092,-1.700512485
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0815,R2,1327268.733,0.027406603,-1.562144789
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0815,R3,1308680.333,0.027772316,-1.556387903
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0812_15,R1,3663333.333,0.079294196,-1.1007586
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0812_15,R2,3760000,0.080725522,-1.09298914
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0812_15,R3,3930000,0.085208474,-1.06951721
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0815,R1,4233333.333,0.084686336,-1.072186656
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0815,R2,4140000,0.085486333,-1.068103311
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0815,R3,4503333.333,0.095568026,-1.019687385
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0812_15,R1,1247590.067,0.027004545,-1.568563129
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0812_15,R2,840867.2667,0.018053045,-1.743449539
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0812_15,R3,1430000,0.03100461,-1.508573723
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0815,R1,1612072.5,0.03224894,-1.491484553
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0815,R2,1046856.067,0.021616398,-1.665216678
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0815,R3,838088.3333,0.017785592,-1.749931684
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0812_15,R1,571015,0.012359829,-1.907987521
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0812_15,R2,750119.6667,0.016104734,-1.793046433
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0812_15,R3,642641.7333,0.013933466,-1.855940835
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0815,R1,620916.1667,0.012421208,-1.905836155
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0815,R2,404806.7333,0.008358803,-2.077855925
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0815,R3,389370.4,0.00826307,-2.082858546
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0812_15,R1,349410.8,0.007563125,-2.121298713
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0812_15,R2,483663.4667,0.010384039,-1.983633701
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0812_15,R3,172325.1,0.003736275,-2.427561222
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0815,R1,1812446.333,0.036257348,-1.440603966
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0815,R2,1777975.333,0.036713186,-1.435177921
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0815,R3,1979664.667,0.04201169,-1.376629847
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0812_15,R1,87506666.67,1.894113953,0.277406103
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0812_15,R2,99216666.67,2.130137545,0.328407647
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0812_15,R3,103083333.3,2.235005997,0.349278693
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0815,R1,115363333.3,2.307802683,0.363198674
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0815,R2,123576666.7,2.551718864,0.406832824
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0815,R3,132276666.7,2.807125071,0.448261763
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0812_15,R1,14004785.73,0.303138733,-0.518358569
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0812_15,R2,12440000,0.267081247,-0.573356605
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0812_15,R3,13537281.03,0.293509177,-0.532378316
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0815,R1,13538739.17,0.270837689,-0.567290901
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0815,R2,4777268.733,0.098645214,-1.00592398
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0815,R3,2980515.2,0.063251359,-1.198930138
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0812_15,R1,1345543.733,0.029124789,-1.53573722
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0812_15,R2,252442.2667,0.005419823,-2.266014914
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0812_15,R3,11843.1,0.000256777,-3.590444364
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0815,R1,261909,0.005239397,-2.2807187
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0815,R2,754537.4667,0.015580348,-1.807422843
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0815,R3,159928.0667,0.003393933,-2.469296792
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0812_15,R1,1847571.067,0.039991355,-1.398033885
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0812_15,R2,1783563.467,0.038292311,-1.416888417
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0812_15,R3,1597895.4,0.034644842,-1.460361414
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0815,R1,1188120,0.02376792,-1.624008816
